stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:2,2,1.00,3.424,1.00,159161.07,159161.07,0.63,57.92,127615.16,59.612,127615.16,59.612,0.63,57.92,126961.45,59.421,126961.45,59.421
Average,1:2:2,3,1.50,17.136,1.50,256084.42,256084.42,1.12,75.92,223335.63,81.499,223335.63,81.499,1.12,75.92,223142.43,81.465,223142.43,81.465
Average,1:2:2,4,2.00,30.392,2.00,359982.27,359982.27,1.62,82.04,326650.45,88.706,326650.45,88.706,1.62,82.04,326651.91,88.698,326651.91,88.698
Average,1:2:2,5,2.50,40.451,2.50,455081.14,455081.14,2.11,85.61,422201.10,91.834,422201.10,91.834,2.11,85.61,422265.16,91.823,422265.16,91.823
Average,1:2:2,10,5.02,65.986,5.02,959734.34,959734.34,4.65,92.83,927732.52,96.512,927732.52,96.512,4.65,92.83,927654.52,96.500,927654.52,96.500
Average,1:2:2,15,7.49,76.050,7.49,1451309.16,1451309.16,7.11,95.02,1419227.99,97.728,1419227.99,97.728,7.11,95.02,1419377.97,97.738,1419377.97,97.738
Average,1:2:2,25,12.47,84.988,12.47,2448912.61,2448912.61,12.09,96.97,2416898.74,98.669,2416898.74,98.669,12.09,96.96,2416817.71,98.666,2416817.71,98.666
Average,1:2:2,50,24.95,92.245,24.95,4941713.19,4941713.19,24.58,98.52,4911373.65,99.381,4911373.65,99.381,24.58,98.52,4910940.54,99.372,4910940.54,99.372
Average,1:2:2,100,49.95,96.062,49.95,9928243.30,9928243.30,49.58,99.26,9897578.61,99.689,9897578.61,99.689,49.58,99.26,9897417.84,99.687,9897417.84,99.687
Average,1:2:2,500,249.92,99.202,249.92,49928067.11,49928067.11,249.54,99.84,49896776.37,99.937,49896776.37,99.937,249.54,99.84,49896670.99,99.937,49896670.99,99.937
Average,1:2:2,1000,500.12,99.600,500.12,100008423.09,100008423.09,499.74,99.92,99977193.63,99.968,99977193.63,99.968,499.74,99.92,99977291.57,99.968,99977291.57,99.968
