iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:2:3:4,2,1.00,2.903,1.00,361637.65,361637.65,0.66,62.28,302166.45,63.437,62.28,302166.45,63.437,302166.45,63.437,0.66,62.28,299925.13,63.121,62.28,299925.13,63.121,299925.13,63.121
303,Average,1:2:3:4,3,1.50,16.893,1.50,587930.14,587930.14,1.15,78.54,521433.31,83.460,78.54,521433.31,83.460,521433.31,83.460,1.15,78.54,520924.59,83.410,78.54,520924.59,83.410,520924.59,83.410
303,Average,1:2:3:4,4,2.00,30.539,2.00,811767.14,811767.14,1.66,84.52,747713.06,90.538,84.52,747713.06,90.538,747713.06,90.538,1.66,84.52,747624.99,90.524,84.52,747624.99,90.524,747624.99,90.524
303,Average,1:2:3:4,5,2.50,40.736,2.50,1040126.76,1040126.76,2.16,87.40,976025.71,92.937,87.40,976025.71,92.937,976025.71,92.937,2.16,87.40,975947.97,92.939,87.40,975947.97,92.939,975947.97,92.939
303,Average,1:2:3:4,10,4.99,65.858,4.99,2160129.35,2160129.35,4.65,93.59,2097037.49,96.949,93.59,2097037.49,96.949,2097037.49,96.949,4.65,93.59,2097188.66,96.958,93.59,2097188.66,96.958,2097188.66,96.958
303,Average,1:2:3:4,15,7.48,76.051,7.48,3282028.60,3282028.60,7.15,95.62,3219528.11,98.037,95.62,3219528.11,98.037,3219528.11,98.037,7.15,95.62,3219415.08,98.033,95.62,3219415.08,98.033,3219415.08,98.033
303,Average,1:2:3:4,25,12.52,85.062,12.52,5550014.06,5550014.06,12.20,97.42,5488409.95,98.871,97.42,5488409.95,98.871,5488409.95,98.871,12.20,97.42,5488324.81,98.869,97.42,5488324.81,98.869,5488324.81,98.869
303,Average,1:2:3:4,50,24.98,92.261,24.98,11153485.55,11153485.55,24.65,98.67,11091321.92,99.437,98.67,11091321.92,99.437,11091321.92,99.437,24.65,98.67,11091252.27,99.437,98.67,11091252.27,99.437,11091252.27,99.437
303,Average,1:2:3:4,100,49.97,96.066,49.97,22395783.18,22395783.18,49.64,99.32,22333102.13,99.719,99.32,22333102.13,99.719,22333102.13,99.719,49.64,99.32,22333102.84,99.719,99.32,22333102.84,99.719,22333102.84,99.719
303,Average,1:2:3:4,500,250.06,99.202,250.06,112442628.15,112442628.15,249.73,99.86,112380698.42,99.944,99.86,112380698.42,99.944,112380698.42,99.944,249.73,99.86,112381052.12,99.945,99.86,112381052.12,99.945,112381052.12,99.945
303,Average,1:2:3:4,1000,500.04,99.600,500.04,224934360.03,224934360.03,499.71,99.93,224872189.11,99.972,99.93,224872189.11,99.972,224872189.11,99.972,499.71,99.93,224871933.51,99.972,99.93,224871933.51,99.972,224871933.51,99.972
