iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,2:1,2,1.00,3.953,1.00,40223.63,40223.63,0.40,34.12,20069.31,34.957,34.12,20069.31,34.957,20069.31,34.957,0.40,34.12,20032.80,34.973,34.12,20032.80,34.973,20032.80,34.973
303,Average,2:1,3,1.49,16.863,1.49,64863.82,64863.82,0.88,57.12,44144.42,60.864,57.12,44144.42,60.864,44144.42,60.864,0.88,57.12,44123.74,61.068,57.12,44123.74,61.068,44123.74,61.068
303,Average,2:1,4,1.99,29.929,1.99,90298.57,90298.57,1.39,69.25,69560.30,73.921,69.25,69560.30,73.921,69560.30,73.921,1.39,69.25,69569.43,74.164,69.25,69569.43,74.164,69569.43,74.164
303,Average,2:1,5,2.49,40.012,2.49,115527.56,115527.56,1.88,75.13,94398.82,79.864,75.13,94398.82,79.864,94398.82,79.864,1.88,75.13,94115.95,79.913,75.13,94115.95,79.913,94115.95,79.913
303,Average,2:1,10,4.99,65.642,4.99,240581.38,240581.38,4.37,87.56,218907.88,90.665,87.56,218907.88,90.665,218907.88,90.665,4.37,87.56,218831.11,90.689,87.56,218831.11,90.689,218831.11,90.689
303,Average,2:1,15,7.51,76.008,7.51,366033.99,366033.99,6.89,91.72,344431.78,93.931,91.73,344431.78,93.931,344431.78,93.931,6.89,91.72,344519.36,93.995,91.73,344519.36,93.995,344519.36,93.995
303,Average,2:1,25,12.49,84.979,12.49,615161.77,615161.77,11.86,94.94,593395.92,96.403,94.94,593395.92,96.403,593395.92,96.403,11.86,94.94,593215.65,96.386,94.94,593215.65,96.386,593215.65,96.386
303,Average,2:1,50,24.97,92.243,24.97,1237786.41,1237786.41,24.34,97.51,1216010.73,98.229,97.51,1216010.73,98.229,1216010.73,98.229,24.34,97.51,1215959.77,98.227,97.51,1215959.77,98.227,1215959.77,98.227
303,Average,2:1,100,49.97,96.061,49.97,2489021.22,2489021.22,49.34,98.75,2467281.60,99.123,98.75,2467281.60,99.123,2467281.60,99.123,49.34,98.75,2467300.55,99.124,98.75,2467300.55,99.124,2467300.55,99.124
303,Average,2:1,500,250.01,99.202,250.02,12492684.22,12492684.22,249.38,99.74,12470653.23,99.823,99.74,12470653.23,99.823,12470653.23,99.823,249.38,99.74,12470452.53,99.821,99.74,12470452.53,99.821,12470452.53,99.821
303,Average,2:1,1000,500.12,99.600,500.12,24996398.89,24996398.89,499.50,99.87,24974709.98,99.913,99.87,24974709.98,99.913,24974709.98,99.913,499.50,99.87,24974655.80,99.912,99.87,24974655.80,99.912,24974655.80,99.912
