iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,3:2:1,2,0.99,0.746,0.99,121993.12,121993.12,0.42,41.38,65131.16,40.608,41.38,65131.16,40.608,65131.16,40.608,0.42,41.38,63704.79,39.774,41.38,63704.79,39.774,63704.79,39.774
303,Average,3:2:1,3,1.49,16.646,1.49,195818.08,195818.08,0.94,66.73,141890.80,70.832,66.73,141890.80,70.832,141890.80,70.832,0.94,66.73,142084.60,70.926,66.73,142084.60,70.926,142084.60,70.926
303,Average,3:2:1,4,1.99,31.624,1.99,272139.42,272139.42,1.41,71.87,212864.96,76.863,71.87,212864.96,76.863,212864.96,76.863,1.41,71.87,212756.35,76.850,71.87,212756.35,76.850,212756.35,76.850
303,Average,3:2:1,5,2.50,41.462,2.50,346035.00,346035.00,1.92,78.06,287856.21,82.617,78.06,287856.21,82.617,287856.21,82.617,1.92,78.06,287757.33,82.601,78.06,287757.33,82.601,287757.33,82.601
303,Average,3:2:1,10,4.99,66.202,4.99,724350.85,724350.85,4.42,88.78,664336.41,91.571,88.79,664336.41,91.571,664336.41,91.571,4.42,88.78,664208.46,91.544,88.79,664208.46,91.544,664208.46,91.544
303,Average,3:2:1,15,7.50,76.251,7.50,1099674.51,1099674.51,6.93,92.48,1039270.83,94.441,92.48,1039270.83,94.441,1039270.83,94.441,6.93,92.48,1039396.81,94.459,92.48,1039396.81,94.459,1039396.81,94.459
303,Average,3:2:1,25,12.49,85.086,12.49,1849325.29,1849325.29,11.92,95.48,1788676.29,96.702,95.48,1788676.29,96.702,1788676.29,96.702,11.92,95.48,1788369.30,96.683,95.48,1788369.30,96.683,1788369.30,96.683
303,Average,3:2:1,50,25.00,92.284,25.00,3725933.50,3725933.50,24.41,97.66,3663847.73,98.328,97.66,3663847.73,98.328,3663847.73,98.328,24.41,97.66,3663591.45,98.322,97.66,3663591.45,98.322,3663591.45,98.322
303,Average,3:2:1,100,49.98,96.070,49.98,7473243.35,7473243.35,49.39,98.82,7410205.96,99.155,98.82,7410205.96,99.155,7410205.96,99.155,49.39,98.82,7410240.93,99.155,98.82,7410240.93,99.155,7410240.93,99.155
303,Average,3:2:1,500,250.10,99.203,250.11,37491276.02,37491276.02,249.52,99.76,37428308.95,99.832,99.76,37428308.95,99.832,37428308.95,99.832,249.52,99.76,37428655.45,99.832,99.76,37428655.45,99.832,37428655.45,99.832
303,Average,3:2:1,1000,499.99,99.600,499.99,74988376.18,74988376.18,499.40,99.88,74925439.86,99.916,99.88,74925439.86,99.916,74925439.86,99.916,499.40,99.88,74925278.08,99.915,99.88,74925278.08,99.915,74925278.08,99.915
