stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,3:3,2,0.99,0.707,0.99,128111.34,128111.34,0.49,48.21,73841.61,45.268,73841.61,45.268,0.49,48.21,73735.52,45.207,73735.52,45.207
Average,3:3,3,1.50,16.949,1.50,203673.59,203673.59,0.99,70.68,149586.31,72.300,149586.31,72.300,0.99,70.68,150226.75,72.581,150226.75,72.581
Average,3:3,4,2.00,31.994,2.00,281629.23,281629.23,1.49,75.50,224148.85,78.196,224148.85,78.196,1.49,75.50,224048.26,78.218,224048.26,78.218
Average,3:3,5,2.49,41.407,2.49,357788.05,357788.05,1.99,81.38,300702.97,83.517,300702.97,83.517,1.99,81.38,300495.97,83.437,300495.97,83.437
Average,3:3,10,5.01,66.272,5.01,736618.48,736618.48,4.50,90.18,676390.51,91.684,676390.51,91.684,4.50,90.18,676285.79,91.658,676285.79,91.658
Average,3:3,15,7.51,76.294,7.51,1111759.94,1111759.94,7.01,93.40,1051011.83,94.473,1051011.83,94.473,7.01,93.40,1050931.12,94.463,1050931.12,94.463
Average,3:3,25,12.51,85.116,12.51,1866043.33,1866043.33,12.01,96.04,1804573.66,96.676,1804573.66,96.676,12.01,96.04,1804394.47,96.668,1804394.47,96.668
Average,3:3,50,25.01,92.289,25.01,3734118.29,3734118.29,24.50,97.96,3671574.75,98.321,3671574.75,98.321,24.50,97.96,3670973.77,98.303,3670973.77,98.303
Average,3:3,100,49.97,96.070,49.97,7484700.19,7484700.19,49.47,99.00,7422790.49,99.171,7422790.49,99.171,49.47,99.00,7422369.15,99.165,7422369.15,99.165
Average,3:3,500,249.91,99.202,249.91,37471357.78,37471357.78,249.40,99.79,37408235.47,99.831,37408235.47,99.831,249.40,99.79,37408166.15,99.831,37408166.15,99.831
Average,3:3,1000,500.01,99.600,500.01,74981372.86,74981372.86,499.49,99.89,74917730.36,99.915,74917730.36,99.915,499.49,99.89,74917338.79,99.914,74917338.79,99.914
