stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,0.99,2.696,0.99,3582.67,3582.67,0.65,61.86,2933.16,61.902,2933.16,61.902,0.65,61.86,2969.38,62.597,2969.38,62.597
Average,1:2:3:4,3,1.49,16.848,1.49,5815.31,5815.31,1.14,77.79,5007.36,80.440,5007.36,80.440,1.14,77.79,5144.52,82.888,5144.52,82.888
Average,1:2:3:4,4,2.00,30.598,2.00,8176.94,8176.94,1.67,84.74,7338.45,87.661,7338.45,87.661,1.67,84.74,7529.27,90.359,7529.27,90.359
Average,1:2:3:4,5,2.47,40.286,2.47,10274.44,10274.44,2.15,87.68,9453.61,90.759,9453.61,90.759,2.15,87.68,9667.09,93.107,9667.09,93.107
Average,1:2:3:4,10,4.99,65.921,4.99,21650.84,21650.84,4.66,93.67,20756.32,95.634,20756.32,95.634,4.66,93.67,21027.70,96.964,21027.70,96.964
Average,1:2:3:4,15,7.51,76.145,7.51,32890.17,32890.17,7.16,95.52,31950.94,97.053,31950.94,97.053,7.16,95.52,32248.57,97.996,32248.57,97.996
Average,1:2:3:4,25,12.47,85.006,12.47,55012.44,55012.44,12.12,97.23,54073.28,98.254,54073.28,98.254,12.12,97.23,54361.21,98.799,54361.21,98.799
Average,1:2:3:4,50,24.96,92.255,24.96,111498.89,111498.89,24.64,98.72,110531.42,99.126,110531.42,99.126,24.64,98.72,110890.41,99.451,110890.41,99.451
Average,1:2:3:4,100,49.94,96.063,49.94,223542.37,223542.37,49.60,99.33,222581.80,99.567,222581.80,99.567,49.60,99.33,222928.64,99.723,222928.64,99.723
Average,1:2:3:4,500,249.94,99.202,249.94,1123425.97,1123425.97,249.61,99.86,1122449.62,99.912,1122449.62,99.912,249.61,99.86,1122796.42,99.943,1122796.42,99.943
Average,1:2:3:4,1000,500.09,99.600,500.09,2247789.74,2247789.74,499.76,99.93,2246843.41,99.957,2246843.41,99.957,499.76,99.93,2247169.74,99.972,2247169.74,99.972
