stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:4,2,1.0,1.0,103815.5,0.7,64.65,83871.7,62.508,0.7,64.75,88761.2,65.161
A,1:4,3,1.5,1.5,163540.0,1.2,79.949,140685.2,79.845,1.2,80.099,150475.8,84.919
A,1:4,4,2.0,2.0,220391.6,1.7,84.874,198476.2,86.465,1.7,85.024,207927.7,90.812
A,1:4,5,2.5,2.5,280418.3,2.1,87.299,256713.6,89.911,2.2,87.483,267952.7,93.904
A,1:4,10,5.0,5.0,581220.5,4.7,93.545,556250.7,95.341,4.7,93.607,569430.2,97.727
A,1:4,15,7.5,7.5,878710.3,7.2,95.885,853021.5,96.859,7.2,95.967,868324.0,98.735
A,1:4,25,12.5,12.5,1492611.7,12.2,97.329,1462884.1,97.948,12.2,97.429,1481741.1,99.245
A,1:4,50,25.0,25.0,2983938.3,24.7,98.8,2955699.5,99.024,24.7,98.897,2974958.7,99.692
A,1:4,100,49.9,49.9,5938364.9,49.6,99.312,5906818.3,99.466,49.6,99.421,5929152.8,99.843
A,1:4,500,250.2,250.2,29828664.5,249.7,99.804,29789736.0,99.869,249.9,99.889,29819591.5,99.969
A,1:4,1000,499.9,499.9,59527459.4,499.2,99.87,59479394.4,99.918,499.6,99.95,59518495.2,99.984
A,1:4,2000,1000.2,1000.2,119227257.5,999.3,99.907,119173885.9,99.955,1000.0,99.978,119218377.9,99.992
AGNC,1:4,2,1.0,1.0,29066.4,0.7,63.25,23392.0,61.057,0.7,63.65,24611.3,63.76
AGNC,1:4,3,1.5,1.5,45358.7,1.2,81.149,38892.3,80.041,1.2,81.299,41239.0,84.989
AGNC,1:4,4,2.0,2.0,63028.6,1.6,85.149,56309.1,86.732,1.7,85.899,58860.8,91.205
AGNC,1:4,5,2.5,2.5,82953.6,2.2,88.308,75845.8,90.023,2.2,88.624,78998.1,94.261
AGNC,1:4,10,5.0,5.0,171536.5,4.7,93.587,163151.8,94.799,4.7,93.99,167751.4,97.622
AGNC,1:4,15,7.5,7.5,252752.8,7.2,95.81,244751.8,96.711,7.2,96.089,249216.4,98.553
AGNC,1:4,25,12.5,12.5,425503.5,12.2,97.368,417028.4,97.951,12.2,97.682,422238.7,99.201
AGNC,1:4,50,25.0,25.0,858217.2,24.6,98.492,848570.4,98.863,24.7,98.794,854669.6,99.58
AGNC,1:4,100,50.0,50.0,1721587.7,49.6,99.174,1711615.4,99.416,49.7,99.423,1718242.5,99.805
