stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
A,1:8,2,1,1,40.41,1,1,1,100.0,100.0,100.0,40.41,40.41,40.41,100.0,100.0,100.0,1,1,1,100.0,100.0,100.0,40.41,40.41,40.41,100.0,100.0,100.0,1,1,1,100.0,100.0,100.0,40.41,40.41,40.41,100.0,100.0,100.0,1,1,1,100.0,100.0,100.0,40.41,40.41,40.41,100.0,100.0,100.0,1,1,1,100.0,100.0,100.0,40.41,40.41,40.41,100.0,100.0,100.0,1,1,1,100.0,100.0,100.0,40.41,40.41,40.41,100.0,100.0,100.0
A,1:8,3,2,2,55.79,1,1,1,50.0,50.0,50.0,45.06,45.06,45.06,80.769,80.769,80.769,1,1,1,50.0,50.0,50.0,45.06,45.06,45.06,80.769,80.769,80.769,1,1,1,50.0,50.0,50.0,45.06,45.06,45.06,80.769,80.769,80.769,1,1,1,50.0,50.0,50.0,45.06,45.06,45.06,80.769,80.769,80.769,1,1,1,50.0,50.0,50.0,45.06,45.06,45.06,80.769,80.769,80.769,1,1,1,50.0,50.0,50.0,45.06,45.06,45.06,80.769,80.769,80.769
A,1:8,4,3,3,62.23,2,2,2,66.666,66.666,66.666,54.36,54.36,54.36,87.356,87.356,87.356,2,2,2,66.666,66.666,66.666,54.36,54.36,54.36,87.356,87.356,87.356,2,2,2,66.666,66.666,66.666,54.36,54.36,54.36,87.356,87.356,87.356,2,2,2,66.666,66.666,66.666,54.36,54.36,54.36,87.356,87.356,87.356,2,2,2,66.666,66.666,66.666,54.36,54.36,54.36,87.356,87.356,87.356,2,2,2,66.666,66.666,66.666,54.36,54.36,54.36,87.356,87.356,87.356
A,1:8,5,4,4,78.68,3,3,3,75.0,75.0,75.0,71.35,71.35,71.35,90.682,90.682,90.682,3,3,3,75.0,75.0,75.0,71.35,71.35,71.35,90.682,90.682,90.682,3,3,3,75.0,75.0,75.0,71.35,71.35,71.35,90.682,90.682,90.682,3,3,3,75.0,75.0,75.0,71.35,71.35,71.35,90.682,90.682,90.682,3,3,3,75.0,75.0,75.0,71.35,71.35,71.35,90.682,90.682,90.682,3,3,3,75.0,75.0,75.0,71.35,71.35,71.35,90.682,90.682,90.682
A,1:8,10,7,7,125.9,7,7,7,100.0,100.0,100.0,125.9,125.9,125.9,100.0,100.0,100.0,7,7,7,100.0,100.0,100.0,125.9,125.9,125.9,100.0,100.0,100.0,7,7,7,100.0,100.0,100.0,125.9,125.9,125.9,100.0,100.0,100.0,7,7,7,100.0,100.0,100.0,125.9,125.9,125.9,100.0,100.0,100.0,7,7,7,100.0,100.0,100.0,125.9,125.9,125.9,100.0,100.0,100.0,7,7,7,100.0,100.0,100.0,125.9,125.9,125.9,100.0,100.0,100.0
A,1:8,15,8,8,204.58,8,8,8,100.0,100.0,100.0,204.58,204.58,204.58,100.0,100.0,100.0,8,8,8,100.0,100.0,100.0,204.58,204.58,204.58,100.0,100.0,100.0,8,8,8,100.0,100.0,100.0,204.58,204.58,204.58,100.0,100.0,100.0,8,8,8,100.0,100.0,100.0,204.58,204.58,204.58,100.0,100.0,100.0,8,8,8,100.0,100.0,100.0,204.58,204.58,204.58,100.0,100.0,100.0,8,8,8,100.0,100.0,100.0,204.58,204.58,204.58,100.0,100.0,100.0
A,1:8,25,15,15,351.58,15,15,15,100.0,100.0,100.0,351.58,351.58,351.58,100.0,100.0,100.0,15,15,15,100.0,100.0,100.0,351.58,351.58,351.58,100.0,100.0,100.0,15,15,15,100.0,100.0,100.0,351.58,351.58,351.58,100.0,100.0,100.0,15,15,15,100.0,100.0,100.0,351.58,351.58,351.58,100.0,100.0,100.0,15,15,15,100.0,100.0,100.0,351.58,351.58,351.58,100.0,100.0,100.0,15,15,15,100.0,100.0,100.0,351.58,351.58,351.58,100.0,100.0,100.0
A,1:8,50,26,26,3677.05,25,25,25,96.153,96.153,96.153,3644.6,3644.6,3644.6,99.117,99.117,99.117,25,25,25,96.153,96.153,96.153,3644.6,3644.6,3644.6,99.117,99.117,99.117,25,25,25,96.153,96.153,96.153,3644.6,3644.6,3644.6,99.117,99.117,99.117,25,25,25,96.153,96.153,96.153,3644.6,3644.6,3644.6,99.117,99.117,99.117,25,25,25,96.153,96.153,96.153,3644.6,3644.6,3644.6,99.117,99.117,99.117,25,25,25,96.153,96.153,96.153,3644.6,3644.6,3644.6,99.117,99.117,99.117
A,1:8,100,53,53,15682.42,52,52,52,98.113,98.113,98.113,15568.55,15568.55,15568.55,99.274,99.274,99.274,52,52,52,98.113,98.113,98.113,15568.55,15568.55,15568.55,99.274,99.274,99.274,52,52,52,98.113,98.113,98.113,15568.55,15568.55,15568.55,99.274,99.274,99.274,52,52,52,98.113,98.113,98.113,15568.55,15568.55,15568.55,99.274,99.274,99.274,52,52,52,98.113,98.113,98.113,15568.55,15568.55,15568.55,99.274,99.274,99.274,52,52,52,98.113,98.113,98.113,15568.55,15568.55,15568.55,99.274,99.274,99.274
A,1:8,500,254,254,58936.31,254,254,254,100.0,100.0,100.0,58936.31,58936.31,58936.31,100.0,100.0,100.0,254,254,254,100.0,100.0,100.0,58936.31,58936.31,58936.31,100.0,100.0,100.0,254,254,254,100.0,100.0,100.0,58936.31,58936.31,58936.31,100.0,100.0,100.0,254,254,254,100.0,100.0,100.0,58936.31,58936.31,58936.31,100.0,100.0,100.0,254,254,254,100.0,100.0,100.0,58936.31,58936.31,58936.31,100.0,100.0,100.0,254,254,254,100.0,100.0,100.0,58936.31,58936.31,58936.31,100.0,100.0,100.0
