stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,0.94,1.999,0.94,906298.39,906298.39,0.64,61.36,815097.10,62.174,815097.10,62.174,0.64,61.36,813292.90,62.024,813292.90,62.024
Average,1:2:3:4,3,1.45,15.444,1.45,1282287.72,1282287.72,1.10,78.28,1205079.04,84.544,1205079.04,84.544,1.10,78.28,1204024.82,84.597,1204024.82,84.597
Average,1:2:3:4,4,1.95,29.182,1.95,1846817.93,1846817.93,1.60,83.88,1775266.73,91.419,1775266.73,91.419,1.60,83.88,1774400.08,91.402,1774400.08,91.402
Average,1:2:3:4,5,2.43,39.540,2.43,2346717.27,2346717.27,2.11,87.65,2282352.76,94.525,2282352.76,94.525,2.11,87.65,2281553.88,94.528,2281553.88,94.528
Average,1:2:3:4,10,4.95,65.634,4.95,4959144.16,4959144.16,4.62,93.65,4902395.16,97.903,4902395.16,97.903,4.62,93.65,4902523.08,97.917,4902523.08,97.917
Average,1:2:3:4,15,7.43,75.896,7.43,7754359.29,7754359.29,7.10,95.65,7697457.68,98.702,7697457.68,98.702,7.10,95.64,7697754.72,98.712,7697754.72,98.712
Average,1:2:3:4,25,12.47,85.001,12.47,12690444.81,12690444.81,12.13,97.28,12635752.75,99.248,12635752.75,99.248,12.13,97.28,12634845.37,99.250,12634845.37,99.250
Average,1:2:3:4,50,24.94,92.250,24.94,25627585.04,25627585.04,24.61,98.67,25576269.48,99.651,25576269.48,99.651,24.61,98.67,25575373.23,99.654,25575373.23,99.654
Average,1:2:3:4,100,50.04,96.071,50.04,51497615.64,51497615.64,49.69,99.29,51449440.63,99.825,51449440.63,99.825,49.69,99.29,51449886.32,99.825,51449886.32,99.825
Average,1:2:3:4,500,249.81,99.202,249.82,257274137.97,257274137.97,249.48,99.86,257227776.98,99.965,257227776.98,99.965,249.48,99.86,257228419.00,99.966,257228419.00,99.966
Average,1:2:3:4,1000,499.68,99.600,499.69,516290551.71,516290551.71,499.36,99.93,516244575.79,99.984,516244575.79,99.984,499.36,99.93,516244750.66,99.984,516244750.66,99.984
