iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
1000,Average,1:8,2,0.96,1.858,0.96,819277.32,819277.32,0.70,67.75,751645.35,67.380,751645.35,67.380,0.70,67.75,751645.35,67.380,751645.35,67.380
1000,Average,1:8,3,1.47,16.081,1.47,1239080.26,1239080.26,1.19,82.63,1175686.06,86.983,1175686.06,86.983,1.19,82.62,1175686.06,86.983,1175686.06,86.983
1000,Average,1:8,4,1.98,30.280,1.98,1716098.67,1716098.67,1.70,87.02,1653546.90,92.560,1653546.90,92.560,1.70,87.02,1653546.90,92.560,1653546.90,92.560
1000,Average,1:8,5,2.48,40.406,2.48,2160475.26,2160475.26,2.19,89.62,2107638.54,94.885,2107638.54,94.885,2.19,89.62,2107638.54,94.885,2107638.54,94.885
1000,Average,1:8,10,5.00,65.944,5.00,4530349.13,4530349.13,4.72,94.63,4480315.67,97.963,4480315.67,97.963,4.72,94.63,4480315.67,97.963,4480315.67,97.963
1000,Average,1:8,15,7.49,76.085,7.49,6755406.74,6755406.74,7.22,96.39,6707980.56,98.733,6707980.56,98.733,7.22,96.39,6707980.56,98.733,6707980.56,98.733
1000,Average,1:8,25,12.48,85.022,12.48,11417757.05,11417757.05,12.21,97.80,11373003.23,99.272,11373003.23,99.272,12.21,97.80,11373003.23,99.272,11373003.23,99.272
1000,Average,1:8,50,24.99,92.266,24.99,22899585.50,22899585.50,24.73,98.93,22855650.52,99.652,22855650.52,99.652,24.73,98.93,22855650.52,99.652,22855650.52,99.652
1000,Average,1:8,100,50.00,96.068,50.00,45828449.33,45828449.33,49.74,99.47,45786230.02,99.829,45786230.02,99.829,49.74,99.47,45786230.02,99.829,45786230.02,99.829
1000,Average,1:8,500,250.00,99.202,250.05,228666895.73,228666895.73,249.83,99.93,228624743.43,99.967,228624743.43,99.967,249.83,99.91,228624743.43,99.967,228624743.43,99.967
1000,Average,1:8,1000,499.96,99.600,500.11,458006675.12,458006675.12,499.92,99.99,457965029.41,99.983,457965029.41,99.983,499.92,99.96,457965029.41,99.983,457965029.41,99.983
