iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,2:2,2,0.99,1.813,0.99,202287.42,202287.42,0.49,46.59,134796.54,46.367,46.59,134796.54,46.367,134796.54,46.367,0.49,46.59,131093.78,45.812,46.59,131093.78,45.812,131093.78,45.812
303,Average,2:2,3,1.50,16.946,1.50,317172.72,317172.72,1.00,68.81,261164.85,74.754,68.83,261164.85,74.754,261164.85,74.754,1.00,68.81,250408.88,72.755,68.83,250408.88,72.755,250408.88,72.755
303,Average,2:2,4,1.99,30.790,1.99,429177.98,429177.98,1.49,76.12,374496.09,82.790,76.14,374496.09,82.790,374496.09,82.790,1.49,76.12,360958.77,81.001,76.14,360958.77,81.001,360958.77,81.001
303,Average,2:2,5,2.50,41.205,2.50,555213.14,555213.14,2.00,80.60,500727.56,87.178,80.60,500727.56,87.178,500727.56,87.178,2.00,80.60,486750.89,85.478,80.60,486750.89,85.478,486750.89,85.478
303,Average,2:2,10,4.99,65.980,4.99,1119184.38,1119184.38,4.50,90.27,1068129.82,94.134,90.29,1068129.82,94.134,1068129.82,94.134,4.50,90.27,1052076.06,93.230,90.29,1052076.06,93.230,1052076.06,93.230
303,Average,2:2,15,7.50,76.140,7.50,1691583.03,1691583.03,7.01,93.53,1641685.76,96.214,93.54,1641685.76,96.214,1641685.76,96.214,7.01,93.53,1623637.23,95.547,93.54,1623637.23,95.547,1623637.23,95.547
303,Average,2:2,25,12.49,85.050,12.50,2836007.11,2836007.11,12.00,96.09,2787210.68,97.768,96.10,2787210.68,97.768,2787210.68,97.768,12.00,96.09,2768041.26,97.369,96.10,2768041.26,97.369,2768041.26,97.369
303,Average,2:2,50,24.99,92.269,25.00,5731073.85,5731073.85,24.50,98.02,5681155.50,98.891,98.04,5681155.50,98.891,5681155.50,98.891,24.50,98.02,5662692.46,98.690,98.04,5662692.46,98.690,5662692.46,98.690
303,Average,2:2,100,50.01,96.069,50.01,11449383.34,11449383.34,49.53,99.02,11401118.58,99.451,99.04,11401118.58,99.451,11401118.58,99.451,49.53,99.02,11382488.03,99.351,99.04,11382488.03,99.351,11382488.03,99.351
303,Average,2:2,500,250.05,99.202,250.13,57283235.56,57283235.56,249.67,99.81,57235117.31,99.891,99.84,57235117.31,99.891,57235117.31,99.891,249.67,99.81,57214924.56,99.870,99.84,57214924.56,99.870,57214924.56,99.870
303,Average,2:2,1000,499.86,99.600,500.06,114405952.22,114405952.22,499.62,99.91,114357983.42,99.945,99.95,114357983.42,99.945,114357983.42,99.945,499.62,99.91,114339466.46,99.934,99.95,114339466.46,99.934,114339466.46,99.934
