iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,3:2:1,2,0.99,0.823,0.99,300433.69,300433.69,0.37,35.93,147286.40,35.915,35.93,147286.40,35.915,147286.40,35.915,0.37,35.93,137241.77,34.228,35.93,137241.77,34.228,137241.77,34.228
303,Average,3:2:1,3,1.46,15.553,1.46,471381.18,471381.18,0.89,64.57,359696.01,72.751,64.57,359696.01,72.751,359696.01,72.751,0.89,64.57,317797.08,67.444,64.57,317797.08,67.444,317797.08,67.444
303,Average,3:2:1,4,1.97,31.033,1.97,650672.32,650672.32,1.38,71.11,541426.52,80.241,71.11,541426.52,80.241,541426.52,80.241,1.38,71.11,497023.83,75.747,71.11,497023.83,75.747,497023.83,75.747
303,Average,3:2:1,5,2.47,40.997,2.47,837770.34,837770.34,1.89,77.33,732201.85,85.336,77.33,732201.85,85.336,732201.85,85.336,1.89,77.33,682690.43,81.431,77.33,682690.43,81.431,682690.43,81.431
303,Average,3:2:1,10,4.96,66.004,4.96,1690431.14,1690431.14,4.36,88.14,1593128.97,93.143,88.14,1593128.97,93.143,1593128.97,93.143,4.36,88.14,1537197.12,90.945,88.14,1537197.12,90.945,1537197.12,90.945
303,Average,3:2:1,15,7.44,76.084,7.45,2565178.85,2565178.85,6.86,92.22,2472825.64,95.580,92.23,2472825.64,95.580,2472825.64,95.580,6.86,92.22,2414148.67,94.143,92.23,2414148.67,94.143,2414148.67,94.143
303,Average,3:2:1,25,12.43,85.014,12.43,4255994.50,4255994.50,11.85,95.35,4165884.40,97.404,95.35,4165884.40,97.404,4165884.40,97.404,11.85,95.35,4107092.77,96.529,95.35,4107092.77,96.529,4107092.77,96.529
303,Average,3:2:1,50,24.91,92.258,24.92,8589245.89,8589245.89,24.32,97.62,8499955.71,98.710,97.63,8499955.71,98.710,8499955.71,98.710,24.32,97.62,8435769.15,98.255,97.63,8435769.15,98.255,8435769.15,98.255
303,Average,3:2:1,100,49.90,96.064,49.91,17147825.51,17147825.51,49.33,98.83,17066664.43,99.368,98.84,17066664.43,99.368,17066664.43,99.368,49.33,98.83,16998254.52,99.143,98.84,16998254.52,99.143,16998254.52,99.143
303,Average,3:2:1,500,249.79,99.202,249.81,85902968.88,85902968.88,249.23,99.76,85821387.82,99.875,99.77,85821387.82,99.875,85821387.82,99.875,249.23,99.76,85754688.00,99.828,99.77,85754688.00,99.828,85754688.00,99.828
303,Average,3:2:1,1000,499.77,99.600,499.82,171734094.70,171734094.70,499.24,99.88,171652017.54,99.937,99.89,171652017.54,99.937,171652017.54,99.937,499.24,99.88,171580413.36,99.913,99.89,171580413.36,99.913,171580413.36,99.913
