stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:2:6,2,0.99,0.101,0.99,849527.04,849527.04,0.47,47.45,465059.94,45.631,465059.94,45.631,0.47,47.45,447440.27,44.657,447440.27,44.657
Average,4:2:6,3,1.47,15.777,1.47,1317924.12,1317924.12,0.98,73.78,1064996.39,79.473,1064996.39,79.473,0.98,73.78,950817.24,74.241,950817.24,74.241
Average,4:2:6,4,1.98,32.343,1.98,1774873.27,1774873.27,1.47,74.75,1498752.40,80.579,1498752.40,80.579,1.47,74.75,1404030.99,77.323,1404030.99,77.323
Average,4:2:6,5,2.47,41.295,2.47,2218276.64,2218276.64,1.98,82.07,1976750.09,86.699,1976750.09,86.699,1.98,82.07,1860521.62,83.715,1860521.62,83.715
Average,4:2:6,10,4.98,66.322,4.98,4526373.72,4526373.72,4.48,90.22,4267411.09,93.176,4267411.09,93.176,4.48,90.21,4155758.02,91.664,4155758.02,91.664
Average,4:2:6,15,7.50,76.338,7.50,6894997.31,6894997.31,6.99,93.36,6637354.75,95.527,6637354.75,95.527,6.99,93.36,6523086.30,94.428,6523086.30,94.428
Average,4:2:6,25,12.47,85.103,12.47,11394143.46,11394143.46,11.98,96.10,11132906.51,97.343,11132906.51,97.343,11.98,96.10,11009109.43,96.681,11009109.43,96.681
Average,4:2:6,50,24.97,92.286,24.97,22891919.77,22891919.77,24.47,98.01,22653306.77,98.695,22653306.77,98.695,24.47,98.01,22522213.98,98.327,22522213.98,98.327
Average,4:2:6,100,49.95,96.071,49.95,46108832.67,46108832.67,49.44,98.98,45840736.82,99.329,45840736.82,99.329,49.44,98.98,45714132.16,99.154,45714132.16,99.154
Average,4:2:6,500,249.85,99.202,249.86,229129973.02,229129973.02,249.39,99.81,228900554.78,99.873,228900554.78,99.873,249.39,99.81,228751867.42,99.836,228751867.42,99.836
Average,4:2:6,1000,500.01,99.600,500.03,457569121.31,457569121.31,499.56,99.90,457340058.45,99.935,457340058.45,99.935,499.56,99.90,457204374.87,99.917,457204374.87,99.917
