iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,4:3:2:1,2,0.99,0.133,0.99,623358.15,623358.15,0.35,35.70,270647.61,35.215,35.70,270647.61,35.215,270647.61,35.215,0.35,35.70,254471.30,33.576,35.70,254471.30,33.576,254471.30,33.576
303,Average,4:3:2:1,3,1.45,15.151,1.45,938658.32,938658.32,0.93,69.79,765433.37,77.638,69.80,765433.37,77.638,765433.37,77.638,0.93,69.79,677142.25,71.472,69.80,677142.25,71.472,677142.25,71.472
303,Average,4:3:2:1,4,1.97,31.831,1.97,1298157.06,1298157.06,1.37,70.28,1048158.87,78.711,70.28,1048158.87,78.711,1048158.87,78.711,1.37,70.28,967042.06,74.379,70.28,967042.06,74.379,967042.06,74.379
303,Average,4:3:2:1,5,2.45,40.929,2.45,1651234.24,1651234.24,1.90,79.02,1447966.83,85.866,79.02,1447966.83,85.866,1447966.83,85.866,1.90,79.02,1346033.67,81.974,79.02,1346033.67,81.974,1346033.67,81.974
303,Average,4:3:2:1,10,4.95,66.070,4.95,3354554.55,3354554.55,4.38,88.77,3157529.17,93.014,88.77,3157529.17,93.014,3157529.17,93.014,4.38,88.77,3044936.80,90.962,88.77,3044936.80,90.962,3044936.80,90.962
303,Average,4:3:2:1,15,7.43,76.129,7.43,5099693.89,5099693.89,6.87,92.57,4902025.20,95.455,92.57,4902025.20,95.455,4902025.20,95.455,6.87,92.57,4786175.46,94.099,92.57,4786175.46,94.099,4786175.46,94.099
303,Average,4:3:2:1,25,12.43,85.046,12.43,8469545.21,8469545.21,11.86,95.48,8275583.49,97.293,95.48,8275583.49,97.293,8275583.49,97.293,11.86,95.48,8161587.75,96.448,95.48,8161587.75,96.448,8161587.75,96.448
303,Average,4:3:2:1,50,24.92,92.268,24.92,17087485.88,17087485.88,24.36,97.75,16898829.66,98.662,97.75,16898829.66,98.662,16898829.66,98.662,24.36,97.75,16783199.64,98.239,97.75,16783199.64,98.239,16783199.64,98.239
303,Average,4:3:2:1,100,49.89,96.066,49.89,34425448.04,34425448.04,49.33,98.87,34240456.04,99.338,98.87,34240456.04,99.338,34240456.04,99.338,49.33,98.87,34110756.55,99.115,98.87,34110756.55,99.115,34110756.55,99.115
303,Average,4:3:2:1,500,249.78,99.202,249.78,171778557.04,171778557.04,249.20,99.76,171596682.60,99.868,99.77,171596682.60,99.868,171596682.60,99.868,249.20,99.76,171461315.39,99.820,99.77,171461315.39,99.820,171461315.39,99.820
303,Average,4:3:2:1,1000,499.86,99.600,499.88,343376888.22,343376888.22,499.31,99.88,343198087.11,99.935,99.88,343198087.11,99.935,343198087.11,99.935,499.31,99.88,343057881.50,99.911,99.88,343057881.50,99.911,343057881.50,99.911
