stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:2,2,1,1,7.29,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0,1,100.0,7.29,100.0
A,1:2,3,2,2,12.29,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0,2,100.0,12.29,100.0
A,1:2,4,2,2,13.37,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0
A,1:2,5,2,2,13.37,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0,2,100.0,13.37,100.0
A,1:2,10,4,4,18.6,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368,4,100.0,17.92,96.368
A,1:2,15,6,6,31.88,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723,5,83.333,27.64,86.723
A,1:2,25,10,10,50.12,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104,9,90.0,46.66,93.104
A,1:2,50,17,17,548.51,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0,17,100.0,548.51,100.0
A,1:2,100,53,53,3768.36,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0,53,100.0,3768.36,100.0
A,1:2,500,336,336,20243.09,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0,336,100.0,20243.09,100.0
A,1:2,1000,471,471,23010.83,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953,470,99.787,23000.03,99.953
A,1:2,2000,859,859,28181.99,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0,859,100.0,28181.99,100.0
A,1:2,5000,2532,2532,132081.54,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0,2532,100.0,132081.54,100.0
A,1:2,5233,2640,2640,158476.52,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995,2640,100.0,158469.06,99.995
AGNC,1:2,2,1,1,1.26,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122,1,100.0,1.17,93.122
AGNC,1:2,3,2,2,2.41,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448,2,100.0,2.23,92.448
AGNC,1:2,4,3,3,3.46,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568,3,100.0,3.2,92.568
AGNC,1:2,5,4,4,4.31,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0,4,100.0,4.31,100.0
