iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.99,5.669,0.99,577764.71,577764.71,0.55,49.77,453415.03,53.473,453415.03,53.473,0.55,49.77,453415.03,53.473,453415.03,53.473
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.49,25.035,1.49,956837.41,956837.41,1.02,69.62,827541.66,78.218,827541.66,78.218,1.02,69.62,827541.66,78.218,827541.66,78.218
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.99,43.858,1.99,1343507.67,1343507.67,1.52,77.33,1216189.01,87.731,1216189.01,87.731,1.52,77.33,1216189.01,87.731,1216189.01,87.731
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.50,56.474,2.50,1741879.04,1741879.04,2.02,81.66,1617791.98,91.709,1617791.98,91.709,2.02,81.66,1617791.98,91.709,1617791.98,91.709
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,5.00,79.319,5.00,3724549.67,3724549.67,4.51,90.44,3608188.22,96.706,3608188.22,96.706,4.51,90.44,3608188.22,96.706,3608188.22,96.706
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.49,86.389,7.49,5719210.58,5719210.58,7.01,93.62,5608431.09,98.002,5608431.09,98.002,7.01,93.62,5608431.09,98.002,5608431.09,98.002
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.48,91.897,12.48,9695125.72,9695125.72,11.99,96.05,9583774.83,98.830,9583774.83,98.830,11.99,96.05,9583774.83,98.830,9583774.83,98.830
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.98,95.975,24.98,19704471.56,19704471.56,24.48,98.01,19596261.00,99.445,19596261.00,99.445,24.48,98.01,19596261.00,99.445,19596261.00,99.445
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.99,97.994,49.99,39703440.41,39703440.41,49.49,99.00,39596165.02,99.728,39596165.02,99.728,49.49,99.00,39596165.02,99.728,39596165.02,99.728
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.94,99.599,249.94,199664153.61,199664153.61,249.44,99.79,199557602.31,99.946,199557602.31,99.946,249.44,99.79,199557602.31,99.946,199557602.31,99.946
1000,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,500.03,99.799,500.03,399727054.67,399727054.67,499.53,99.89,399620129.31,99.973,399620129.31,99.973,499.53,99.89,399620129.31,99.973,399620129.31,99.973
