stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1,2,1.00,7.090,1.00,76477.98,76477.98,0.53,46.72,53486.66,49.693,53486.66,49.693,0.53,46.72,53486.66,49.693,53486.66,49.693
Average,1:1:1,3,1.50,25.646,1.50,123526.08,123526.08,1.00,65.81,101197.85,72.758,101197.85,72.758,1.00,65.81,101197.85,72.758,101197.85,72.758
Average,1:1:1,4,2.01,43.234,2.01,173970.41,173970.41,1.51,75.77,152592.00,84.268,152592.00,84.268,1.51,75.77,152592.00,84.268,152592.00,84.268
Average,1:1:1,5,2.50,55.256,2.50,224846.39,224846.39,2.01,80.91,203427.90,88.976,203427.90,88.976,2.01,80.91,203427.90,88.976,203427.90,88.976
Average,1:1:1,10,5.02,79.217,5.02,473794.53,473794.53,4.53,90.16,453582.19,95.504,453582.19,95.504,4.53,90.16,453582.19,95.504,453582.19,95.504
Average,1:1:1,15,7.52,86.333,7.52,726994.87,726994.87,7.01,93.18,706338.58,97.047,706338.58,97.047,7.01,93.18,706338.58,97.047,706338.58,97.047
Average,1:1:1,25,12.45,91.845,12.45,1216203.96,1216203.96,11.97,96.12,1197350.83,98.427,1197350.83,98.427,11.97,96.12,1197350.83,98.427,1197350.83,98.427
Average,1:1:1,50,24.99,95.968,24.99,2469720.79,2469720.79,24.47,97.91,2450127.98,99.198,2450127.98,99.198,24.47,97.91,2450127.98,99.198,2450127.98,99.198
Average,1:1:1,100,49.97,97.990,49.97,4958827.60,4958827.60,49.47,99.01,4939996.18,99.618,4939996.18,99.618,49.47,99.01,4939996.18,99.618,4939996.18,99.618
Average,1:1:1,500,249.73,99.599,249.73,24948299.55,24948299.55,249.25,99.80,24930411.35,99.928,24930411.35,99.928,249.25,99.80,24930411.35,99.928,24930411.35,99.928
Average,1:1:1,1000,499.88,99.799,499.88,49960942.67,49960942.67,499.40,99.90,49942700.69,99.963,49942700.69,99.963,499.40,99.90,49942700.69,99.963,49942700.69,99.963
