iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:1:1:1:1,2,0.99,6.195,0.99,146285.16,146285.16,0.53,47.38,108826.93,50.722,47.38,108826.93,50.722,108826.93,50.722,0.53,47.38,108826.93,50.722,47.38,108826.93,50.722,108826.93,50.722
303,Average,1:1:1:1:1,3,1.48,24.700,1.48,240003.66,240003.66,1.01,69.03,203373.26,76.777,69.03,203373.26,76.777,203373.26,76.777,1.01,69.03,203373.26,76.777,69.03,203373.26,76.777,203373.26,76.777
303,Average,1:1:1:1:1,4,2.00,43.633,2.00,341460.05,341460.05,1.51,76.26,304305.41,85.922,76.26,304305.41,85.922,304305.41,85.922,1.51,76.26,304305.41,85.922,76.26,304305.41,85.922,304305.41,85.922
303,Average,1:1:1:1:1,5,2.49,55.748,2.49,436834.31,436834.31,2.00,81.17,401288.19,90.535,81.17,401288.19,90.535,401288.19,90.535,2.00,81.17,401288.19,90.535,81.17,401288.19,90.535,401288.19,90.535
303,Average,1:1:1:1:1,10,4.98,79.134,4.98,932145.34,932145.34,4.49,90.38,898554.56,96.227,90.38,898554.56,96.227,898554.56,96.227,4.49,90.38,898554.56,96.227,90.38,898554.56,96.227,898554.56,96.227
303,Average,1:1:1:1:1,15,7.51,86.372,7.51,1432792.37,1432792.37,7.01,93.50,1399790.15,97.621,93.50,1399790.15,97.621,1399790.15,97.621,7.01,93.50,1399790.15,97.621,93.50,1399790.15,97.621,1399790.15,97.621
303,Average,1:1:1:1:1,25,12.50,91.896,12.50,2435440.92,2435440.92,12.01,96.10,2403913.06,98.682,96.10,2403913.06,98.682,2403913.06,98.682,12.01,96.10,2403913.06,98.682,96.10,2403913.06,98.682,2403913.06,98.682
303,Average,1:1:1:1:1,50,24.99,95.973,24.99,4930617.16,4930617.16,24.49,98.00,4898638.13,99.346,98.00,4898638.13,99.346,4898638.13,99.346,24.49,98.00,4898638.13,99.346,98.00,4898638.13,99.346,4898638.13,99.346
303,Average,1:1:1:1:1,100,49.94,97.991,49.94,9923173.54,9923173.54,49.44,98.99,9891310.85,99.677,98.99,9891310.85,99.677,9891310.85,99.677,49.44,98.99,9891310.85,99.677,98.99,9891310.85,99.677,9891310.85,99.677
303,Average,1:1:1:1:1,500,249.93,99.599,249.93,49930835.25,49930835.25,249.42,99.79,49899076.46,99.936,99.79,49899076.46,99.936,49899076.46,99.936,249.42,99.79,49899076.46,99.936,99.79,49899076.46,99.936,49899076.46,99.936
303,Average,1:1:1:1:1,1000,500.08,99.799,500.08,99938969.13,99938969.13,499.58,99.89,99907640.41,99.968,99.89,99907640.41,99.968,99907640.41,99.968,499.58,99.89,99907640.41,99.968,99.89,99907640.41,99.968,99907640.41,99.968
