n,k,ecck,eccgft,aack,aacgft,ecdk,ecdgft,aadk,aadgft,ecek,ecegft,aaek,aaegft,ecfk,ecfgft,aafk,aafgft
2,1.70,67.50,77.76,65.00,79.73,53.75,68.62,53.75,69.01,55.00,64.43,53.75,64.29,40.00,50.35,40.00,50.35
3,2.38,76.67,83.81,73.75,83.60,68.75,78.84,68.75,78.99,66.67,77.66,66.67,77.61,48.75,58.24,48.75,58.24
4,3.15,77.08,86.26,79.79,89.25,73.96,84.19,73.96,84.22,67.71,79.76,67.71,79.76,59.37,67.59,59.37,67.51
5,3.68,87.75,92.00,86.83,92.80,78.50,86.99,78.50,86.91,74.67,83.49,75.29,83.93,58.62,67.42,58.62,67.36
10,6.95,89.69,95.41,90.62,95.99,88.33,94.74,88.33,94.56,83.72,91.65,83.84,92.05,71.23,77.16,71.23,77.12
15,10.20,93.68,97.39,92.60,97.02,90.39,95.54,90.74,95.65,87.08,93.27,87.62,93.64,77.03,82.36,77.03,82.36
25,16.30,96.38,98.20,96.90,98.47,94.33,97.37,94.85,97.52,90.33,94.83,90.35,94.88,87.59,94.08,87.59,94.03
50,31.40,97.75,99.10,98.09,99.26,96.40,98.23,96.59,98.45,94.96,97.55,95.34,97.89,92.45,96.04,92.45,96.04
100,61.00,99.10,99.59,99.06,99.61,98.47,99.27,98.59,99.42,97.48,99.05,97.48,99.01,95.91,98.04,95.92,98.09
500,293.73,99.84,99.94,99.87,99.95,99.65,99.86,99.67,99.87,99.37,99.72,99.37,99.72,99.29,99.70,99.29,99.70
1000,571.60,99.92,99.97,99.92,99.97,99.81,99.93,99.80,99.93,99.68,99.85,99.69,99.86,99.66,99.89,99.66,99.90
2000,1079.93,99.96,99.99,99.96,99.98,99.89,99.96,99.90,99.96,99.88,99.96,99.88,99.95,99.87,99.96,99.87,99.96
5000,2445.53,99.98,99.99,99.99,100.00,99.98,100.00,99.98,100.00,99.97,99.99,99.97,99.99,99.98,100.00,99.98,100.00
