stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
WMT,1:1:1,2,2,2,0.0,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182,1,50.0,0.0,68.182
WMT,1:1:1,3,2,2,0.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0,2,100.0,0.0,100.0
WMT,1:1:1,4,3,3,0.0,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661,2,66.666,0.0,96.661
WMT,1:1:1,5,3,3,0.01,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0,3,100.0,0.01,100.0
WMT,1:1:1,10,5,6,0.01,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836,5,83.333,0.01,95.836
WMT,1:1:1,15,7,9,0.01,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0,9,100.0,0.01,100.0
WMT,1:1:1,25,13,13,0.1,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0,13,100.0,0.1,100.0
WMT,1:1:1,50,26,27,0.23,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0,27,100.0,0.23,100.0
WMT,1:1:1,100,53,53,0.59,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0,53,100.0,0.59,100.0
WMT,1:1:1,500,253,253,10.52,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0,253,100.0,10.52,100.0
