stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.9,0.9,383814.9,0.4,41.0,301730.8,42.872,0.4,41.0,301730.8,42.872
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.4,1.4,607849.7,0.9,63.949,537108.8,73.181,0.9,64.249,538757.4,73.566
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.9,1.9,839589.0,1.4,74.916,778182.4,87.937,1.4,75.449,782735.6,88.484
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.4,2.4,1083675.1,1.8,78.924,1017755.3,91.416,1.9,79.424,1023284.1,91.926
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.8,4.8,2241970.4,4.3,89.55,2189746.5,97.288,4.3,89.986,2199239.4,97.738
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.3,7.3,3478377.1,6.8,93.288,3429841.2,98.511,6.8,93.593,3440097.5,98.807
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.2,12.2,5830957.2,11.6,95.793,5773121.1,98.967,11.7,96.159,5794175.0,99.331
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.5,24.5,11753199.2,24.0,97.653,11682666.8,99.385,24.0,97.971,11718729.1,99.698
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.5,49.5,23687792.0,48.9,98.698,23582016.6,99.545,49.1,99.03,23656900.4,99.867
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.3,249.3,119227829.7,248.3,99.597,118965799.8,99.78,248.8,99.804,119197180.6,99.974
A,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,498.8,498.8,237990451.2,497.5,99.733,237604002.9,99.837,498.3,99.896,237957472.5,99.986
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,1.0,1.0,102493.0,0.5,46.1,83600.7,49.371,0.5,46.8,84903.1,50.154
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.4,1.4,176092.9,1.0,69.199,154573.6,75.745,1.0,70.549,157333.2,77.254
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.9,1.9,236073.9,1.4,74.358,213268.7,85.235,1.4,75.741,216879.3,86.786
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.4,2.4,308081.2,1.9,78.958,286391.5,90.55,1.9,80.274,290715.3,92.012
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.8,4.8,646559.0,4.2,88.485,622985.1,96.008,4.3,89.916,631617.1,97.477
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.3,7.3,995569.2,6.7,92.313,970845.2,97.324,6.8,93.582,982107.5,98.59
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.3,12.3,1683217.1,11.7,94.995,1650393.1,97.99,11.9,96.294,1670870.2,99.255
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.9,24.9,3429177.6,24.2,97.014,3382329.5,98.603,24.4,98.107,3417524.5,99.66
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,50.0,50.0,6853674.7,49.1,98.191,6784054.5,98.974,49.5,99.113,6843264.7,99.847
AGNC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,250.3,250.3,34559182.1,248.8,99.399,34413484.4,99.578,249.9,99.826,34548730.4,99.969
