iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.89,3.405,0.89,1394342.86,1394342.86,0.43,39.62,1134814.72,41.813,39.62,1134814.72,41.813,1134814.72,41.813,0.43,39.62,1134814.72,41.813,39.62,1134814.72,41.813,1134814.72,41.813
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.39,21.128,1.39,2364748.19,2364748.19,0.91,65.33,2134685.91,74.337,65.33,2134685.91,74.337,2134685.91,74.337,0.91,65.33,2134685.91,74.337,65.33,2134685.91,74.337,2134685.91,74.337
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.89,40.435,1.89,3254955.40,3254955.40,1.40,74.91,3065870.74,86.999,74.91,3065870.74,86.999,3065870.74,86.999,1.40,74.91,3065870.74,86.999,74.91,3065870.74,86.999,3065870.74,86.999
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.38,53.462,2.38,4194842.15,4194842.15,1.89,80.20,4030399.96,92.112,80.20,4030399.96,92.112,4030399.96,92.112,1.89,80.20,4030399.96,92.112,80.20,4030399.96,92.112,4030399.96,92.112
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.87,78.714,4.87,8773228.10,8773228.10,4.37,90.04,8654984.61,97.617,90.04,8654984.61,97.617,8654984.61,97.617,4.37,90.04,8654984.61,97.617,90.04,8654984.61,97.617,8654984.61,97.617
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.36,86.117,7.36,13368742.75,13368742.75,6.87,93.43,13260936.99,98.610,93.43,13260936.99,98.610,13260936.99,98.610,6.87,93.43,13260936.99,98.610,93.43,13260936.99,98.610,13260936.99,98.610
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.36,91.807,12.36,22296164.10,22296164.10,11.86,96.05,22196057.62,99.237,96.05,22196057.62,99.237,22196057.62,99.237,11.86,96.05,22196057.62,99.237,96.05,22196057.62,99.237,22196057.62,99.237
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.79,95.943,24.79,45747817.03,45747817.03,24.31,98.04,45663142.68,99.664,98.04,45663142.68,99.664,45663142.68,99.664,24.31,98.04,45663142.68,99.664,98.04,45663142.68,99.664,45663142.68,99.664
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.69,97.981,49.69,90971726.83,90971726.83,49.20,99.00,90890583.89,99.832,99.00,90890583.89,99.832,90890583.89,99.832,49.20,99.00,90890583.89,99.832,99.00,90890583.89,99.832,90890583.89,99.832
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.51,99.599,249.51,457669296.45,457669296.45,249.02,99.80,457588569.67,99.968,99.80,457588569.67,99.968,457588569.67,99.968,249.02,99.80,457588569.67,99.968,99.80,457588569.67,99.968,457588569.67,99.968
303,Average,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,499.26,99.799,499.27,916515807.59,916515807.59,498.76,99.89,916434555.52,99.984,99.89,916434555.52,99.984,916434555.52,99.984,498.76,99.89,916434555.52,99.984,99.89,916434555.52,99.984,916434555.52,99.984
