iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
1000,Average,1:1:1,2,0.95,5.943,0.95,192095.33,192095.33,0.47,41.63,150930.22,44.503,150930.22,44.503,0.47,41.62,150930.22,44.503,150930.22,44.503
1000,Average,1:1:1,3,1.45,23.966,1.45,298765.63,298765.63,0.96,64.41,263866.22,72.562,263866.22,72.562,0.96,64.40,263866.22,72.562,263866.22,72.562
1000,Average,1:1:1,4,1.95,41.252,1.95,412058.29,412058.29,1.45,74.43,382904.06,84.704,382904.06,84.704,1.45,74.42,382904.06,84.704,382904.06,84.704
1000,Average,1:1:1,5,2.44,53.979,2.44,534679.62,534679.62,1.95,80.28,508525.07,90.597,508525.07,90.597,1.95,80.27,508525.07,90.597,508525.07,90.597
1000,Average,1:1:1,10,4.93,78.717,4.93,1097871.30,1097871.30,4.43,89.94,1076961.29,96.771,1076961.29,96.771,4.43,89.93,1076961.29,96.771,1076961.29,96.771
1000,Average,1:1:1,15,7.43,86.144,7.43,1668563.79,1668563.79,6.93,93.34,1649623.26,98.083,1649623.26,98.083,6.93,93.33,1649623.26,98.083,1649623.26,98.083
1000,Average,1:1:1,25,12.41,91.809,12.41,2824159.14,2824159.14,11.91,96.00,2807255.44,98.945,2807255.44,98.945,11.91,95.98,2807255.44,98.945,2807255.44,98.945
1000,Average,1:1:1,50,24.91,95.953,24.91,5701197.52,5701197.52,24.42,98.02,5685801.47,99.523,5685801.47,99.523,24.42,98.01,5685801.47,99.523,5685801.47,99.523
1000,Average,1:1:1,100,49.86,97.986,49.87,11412274.71,11412274.71,49.37,99.02,11397509.96,99.767,11397509.96,99.767,49.37,99.00,11397509.96,99.767,11397509.96,99.767
1000,Average,1:1:1,500,249.78,99.599,249.83,57232961.56,57232961.56,249.33,99.81,57218836.14,99.955,57218836.14,99.955,249.33,99.80,57218836.14,99.955,57218836.14,99.955
1000,Average,1:1:1,1000,499.66,99.799,499.76,114494933.53,114494933.53,499.26,99.91,114481049.91,99.977,114481049.91,99.977,499.26,99.89,114481049.91,99.977,114481049.91,99.977
