stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1:1:1:1:1,2,0.91,3.880,0.91,738259.19,738259.19,0.43,40.10,596031.60,42.493,596031.60,42.493,0.43,40.10,596031.60,42.493,596031.60,42.493
Average,1:1:1:1:1:1:1:1:1,3,1.40,21.701,1.40,1176564.33,1176564.33,0.92,64.90,1053620.87,73.788,1053620.87,73.788,0.92,64.90,1053620.87,73.788,1053620.87,73.788
Average,1:1:1:1:1:1:1:1:1,4,1.89,40.384,1.89,1621489.09,1621489.09,1.40,74.71,1520412.58,86.481,1520412.58,86.481,1.40,74.71,1520412.58,86.481,1520412.58,86.481
Average,1:1:1:1:1:1:1:1:1,5,2.39,53.717,2.39,2104133.92,2104133.92,1.90,80.16,2014865.64,91.870,2014865.64,91.870,1.90,80.16,2014865.64,91.870,2014865.64,91.870
Average,1:1:1:1:1:1:1:1:1,10,4.89,78.738,4.89,4459791.76,4459791.76,4.39,90.02,4392984.61,97.460,4392984.61,97.460,4.39,90.02,4392984.61,97.460,4392984.61,97.460
Average,1:1:1:1:1:1:1:1:1,15,7.39,86.155,7.39,6677582.16,6677582.16,6.89,93.40,6620663.55,98.539,6620663.55,98.539,6.89,93.40,6620663.55,98.539,6620663.55,98.539
Average,1:1:1:1:1:1:1:1:1,25,12.35,91.802,12.35,11260077.73,11260077.73,11.85,95.98,11207260.94,99.188,11207260.94,99.188,11.85,95.97,11207260.94,99.188,11207260.94,99.188
Average,1:1:1:1:1:1:1:1:1,50,24.80,95.943,24.80,22798769.04,22798769.04,24.31,98.00,22752131.41,99.634,22752131.41,99.634,24.31,98.00,22752131.41,99.634,22752131.41,99.634
Average,1:1:1:1:1:1:1:1:1,100,49.77,97.984,49.77,45709180.25,45709180.25,49.27,99.00,45664299.84,99.826,45664299.84,99.826,49.27,99.00,45664299.84,99.826,45664299.84,99.826
Average,1:1:1:1:1:1:1:1:1,500,249.58,99.599,249.58,229135339.79,229135339.79,249.08,99.79,229093041.09,99.966,229093041.09,99.966,249.08,99.79,229093041.09,99.966,229093041.09,99.966
Average,1:1:1:1:1:1:1:1:1,1000,499.54,99.799,499.55,457846987.93,457846987.93,499.05,99.90,457804870.69,99.983,457804870.69,99.983,499.05,99.89,457804870.69,99.983,457804870.69,99.983
