stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:2,2,1,1,7.29,1,100.0,7.29,100.0,1,100.0,7.29,100.0
A,1:2,3,2,2,12.29,2,100.0,12.29,100.0,2,100.0,12.29,100.0
A,1:2,4,2,2,13.37,2,100.0,13.37,100.0,2,100.0,13.37,100.0
A,1:2,5,2,2,13.37,2,100.0,13.37,100.0,2,100.0,13.37,100.0
A,1:2,10,4,4,18.6,4,100.0,17.92,96.368,4,100.0,17.92,96.368
A,1:2,15,6,6,31.88,5,83.333,27.64,86.723,5,83.333,27.64,86.723
A,1:2,25,10,10,50.12,8,80.0,43.21,86.209,9,90.0,46.66,93.104
A,1:2,50,17,17,548.51,17,100.0,548.51,100.0,17,100.0,548.51,100.0
A,1:2,100,53,53,3768.37,53,100.0,3768.37,100.0,53,100.0,3768.37,100.0
A,1:2,500,336,336,20243.1,336,100.0,20243.1,100.0,336,100.0,20243.1,100.0
A,1:2,1000,471,471,23010.85,470,99.787,23000.06,99.953,470,99.787,23000.06,99.953
A,1:2,2000,859,859,28182.04,859,100.0,28182.04,100.0,859,100.0,28182.04,100.0
A,1:2,5000,2532,2532,132081.67,2532,100.0,132081.67,100.0,2532,100.0,132081.67,100.0
A,1:2,5233,2640,2640,158476.66,2640,100.0,158469.19,99.995,2640,100.0,158469.19,99.995
AGNC,1:2,2,1,1,1.26,1,100.0,1.26,100.0,1,100.0,1.17,93.12
AGNC,1:2,3,2,2,2.41,2,100.0,2.41,100.0,2,100.0,2.23,92.448
AGNC,1:2,4,3,3,3.46,3,100.0,3.46,100.0,3,100.0,3.2,92.567
AGNC,1:2,5,4,4,4.31,3,75.0,3.65,84.628,4,100.0,4.31,100.0
AGNC,1:2,10,7,7,9.71,6,85.714,8.92,91.85,6,85.714,8.92,91.85
AGNC,1:2,15,12,12,31.41,11,91.666,30.35,96.632,11,91.666,30.35,96.632
AGNC,1:2,25,17,17,100.53,17,100.0,100.53,100.0,17,100.0,100.53,100.0
AGNC,1:2,50,26,26,142.49,25,96.153,141.16,99.068,25,96.153,141.16,99.068
AGNC,1:2,100,47,47,243.21,46,97.872,241.87,99.448,46,97.872,241.87,99.448
AGNC,1:2,500,169,169,2709.27,168,99.408,2703.06,99.771,168,99.408,2703.06,99.771
AGNC,1:2,1000,581,581,9076.21,581,100.0,9076.21,100.0,581,100.0,9070.52,99.937
AGNC,1:2,2000,1141,1141,22331.79,1140,99.912,22323.45,99.963,1140,99.912,22323.45,99.963
AGNC,1:2,3100,1565,1565,27430.75,1562,99.808,27392.48,99.86,1565,100.0,27430.75,100.0
AMAT,1:2,2,2,2,0.38,1,50.0,0.19,50.444,1,50.0,0.19,50.444
AMAT,1:2,3,3,3,0.58,2,66.666,0.39,67.06,2,66.666,0.39,67.06
AMAT,1:2,4,4,4,0.77,3,75.0,0.58,75.443,3,75.0,0.58,75.443
AMAT,1:2,5,5,5,0.98,4,80.0,0.79,80.563,4,80.0,0.79,80.563
AMAT,1:2,10,10,10,1.86,9,90.0,1.7,91.598,9,90.0,1.7,91.598
AMAT,1:2,15,15,15,2.78,14,93.333,2.62,94.387,14,93.333,2.62,94.387
