stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
A,1:4,2,1,1,20.21,1,1,100.0,100.0,20.21,20.21,100.0,100.0,1,1,100.0,100.0,20.21,20.21,100.0,100.0,1,1,100.0,100.0,20.21,20.21,100.0,100.0,1,1,100.0,100.0,20.21,20.21,100.0,100.0
A,1:4,3,2,2,27.9,1,1,50.0,50.0,22.53,22.53,80.769,80.769,1,1,50.0,50.0,22.53,22.53,80.769,80.769,1,1,50.0,50.0,22.53,22.53,80.769,80.769,1,1,50.0,50.0,22.53,22.53,80.769,80.769
A,1:4,4,3,3,31.12,2,2,66.666,66.666,27.18,27.18,87.356,87.356,2,2,66.666,66.666,27.18,27.18,87.356,87.356,2,2,66.666,66.666,27.18,27.18,87.356,87.356,2,2,66.666,66.666,27.18,27.18,87.356,87.356
A,1:4,5,4,4,39.34,3,3,75.0,75.0,35.68,35.68,90.682,90.682,3,3,75.0,75.0,35.68,35.68,90.682,90.682,3,3,75.0,75.0,35.68,35.68,90.682,90.682,3,3,75.0,75.0,35.68,35.68,90.682,90.682
A,1:4,10,7,7,62.95,6,6,85.714,85.714,58.63,58.63,93.141,93.141,7,7,100.0,100.0,62.95,62.95,100.0,100.0,6,6,85.714,85.714,58.63,58.63,93.141,93.141,7,7,100.0,100.0,62.95,62.95,100.0,100.0
A,1:4,15,8,8,102.29,8,8,100.0,100.0,102.29,102.29,100.0,100.0,8,8,100.0,100.0,102.29,102.29,100.0,100.0,8,8,100.0,100.0,102.29,102.29,100.0,100.0,8,8,100.0,100.0,102.29,102.29,100.0,100.0
A,1:4,25,15,15,175.79,15,15,100.0,100.0,175.79,175.79,100.0,100.0,15,15,100.0,100.0,175.79,175.79,100.0,100.0,15,15,100.0,100.0,175.79,175.79,100.0,100.0,15,15,100.0,100.0,175.79,175.79,100.0,100.0
A,1:4,50,26,26,1838.52,25,25,96.153,96.153,1822.3,1822.3,99.117,99.117,25,25,96.153,96.153,1822.3,1822.3,99.117,99.117,25,25,96.153,96.153,1822.3,1822.3,99.117,99.117,25,25,96.153,96.153,1822.3,1822.3,99.117,99.117
A,1:4,100,53,53,7841.21,52,52,98.113,98.113,7784.27,7784.27,99.274,99.274,52,52,98.113,98.113,7784.27,7784.27,99.274,99.274,52,52,98.113,98.113,7784.27,7784.27,99.274,99.274,52,52,98.113,98.113,7784.27,7784.27,99.274,99.274
A,1:4,500,254,254,29468.15,254,254,100.0,100.0,29468.15,29468.15,100.0,100.0,254,254,100.0,100.0,29468.15,29468.15,100.0,100.0,254,254,100.0,100.0,29468.15,29468.15,100.0,100.0,254,254,100.0,100.0,29468.15,29468.15,100.0,100.0
