stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
A,2:2,2,2,2,139.57,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,79.8,79.8,79.8,79.8,79.8,57.175,57.175,57.175,57.175,57.175,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,73.13,73.13,73.13,73.13,73.13,52.392,52.392,52.392,52.392,52.392,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,79.8,79.8,79.8,79.8,79.8,57.175,57.175,57.175,57.175,57.175,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,73.13,73.13,73.13,73.13,73.13,52.392,52.392,52.392,52.392,52.392,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,79.8,79.8,79.8,79.8,79.8,57.175,57.175,57.175,57.175,57.175,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,73.13,73.13,73.13,73.13,73.13,52.392,52.392,52.392,52.392,52.392,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,79.8,79.8,79.8,79.8,79.8,57.175,57.175,57.175,57.175,57.175,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,73.13,73.13,73.13,73.13,73.13,52.392,52.392,52.392,52.392,52.392,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,79.8,79.8,79.8,79.8,79.8,57.175,57.175,57.175,57.175,57.175,1,1,1,1,1,50.0,50.0,50.0,50.0,50.0,73.13,73.13,73.13,73.13,73.13,52.392,52.392,52.392,52.392,52.392
A,2:2,3,3,3,206.37,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,145.21,145.21,145.21,145.21,145.21,70.364,70.364,70.364,70.364,70.364,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,140.63,140.63,140.63,140.63,140.63,68.146,68.146,68.146,68.146,68.146,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,145.21,145.21,145.21,145.21,145.21,70.364,70.364,70.364,70.364,70.364,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,140.63,140.63,140.63,140.63,140.63,68.146,68.146,68.146,68.146,68.146,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,145.21,145.21,145.21,145.21,145.21,70.364,70.364,70.364,70.364,70.364,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,140.63,140.63,140.63,140.63,140.63,68.146,68.146,68.146,68.146,68.146,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,145.21,145.21,145.21,145.21,145.21,70.364,70.364,70.364,70.364,70.364,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,140.63,140.63,140.63,140.63,140.63,68.146,68.146,68.146,68.146,68.146,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,145.21,145.21,145.21,145.21,145.21,70.364,70.364,70.364,70.364,70.364,2,2,2,2,2,66.666,66.666,66.666,66.666,66.666,140.63,140.63,140.63,140.63,140.63,68.146,68.146,68.146,68.146,68.146
A,2:2,4,4,4,270.39,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,208.96,208.96,208.96,208.96,208.96,77.282,77.282,77.282,77.282,77.282,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,205.43,205.43,205.43,205.43,205.43,75.978,75.978,75.978,75.978,75.978,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,208.96,208.96,208.96,208.96,208.96,77.282,77.282,77.282,77.282,77.282,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,205.43,205.43,205.43,205.43,205.43,75.978,75.978,75.978,75.978,75.978,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,208.96,208.96,208.96,208.96,208.96,77.282,77.282,77.282,77.282,77.282,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,205.43,205.43,205.43,205.43,205.43,75.978,75.978,75.978,75.978,75.978,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,208.96,208.96,208.96,208.96,208.96,77.282,77.282,77.282,77.282,77.282,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,205.43,205.43,205.43,205.43,205.43,75.978,75.978,75.978,75.978,75.978,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,208.96,208.96,208.96,208.96,208.96,77.282,77.282,77.282,77.282,77.282,3,3,3,3,3,75.0,75.0,75.0,75.0,75.0,205.43,205.43,205.43,205.43,205.43,75.978,75.978,75.978,75.978,75.978
A,2:2,5,5,5,332.98,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,273.75,273.75,273.75,273.75,273.75,82.213,82.213,82.213,82.213,82.213,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,269.65,269.65,269.65,269.65,269.65,80.983,80.983,80.983,80.983,80.983,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,273.75,273.75,273.75,273.75,273.75,82.213,82.213,82.213,82.213,82.213,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,269.65,269.65,269.65,269.65,269.65,80.983,80.983,80.983,80.983,80.983,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,273.75,273.75,273.75,273.75,273.75,82.213,82.213,82.213,82.213,82.213,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,269.65,269.65,269.65,269.65,269.65,80.983,80.983,80.983,80.983,80.983,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,273.75,273.75,273.75,273.75,273.75,82.213,82.213,82.213,82.213,82.213,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,269.65,269.65,269.65,269.65,269.65,80.983,80.983,80.983,80.983,80.983,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,273.75,273.75,273.75,273.75,273.75,82.213,82.213,82.213,82.213,82.213,4,4,4,4,4,80.0,80.0,80.0,80.0,80.0,269.65,269.65,269.65,269.65,269.65,80.983,80.983,80.983,80.983,80.983
A,2:2,10,10,10,648.87,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,590.53,590.53,590.53,590.53,590.53,91.009,91.009,91.009,91.009,91.009,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,587.09,587.09,587.09,587.09,587.09,90.478,90.478,90.478,90.478,90.478,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,590.53,590.53,590.53,590.53,590.53,91.009,91.009,91.009,91.009,91.009,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,587.09,587.09,587.09,587.09,587.09,90.478,90.478,90.478,90.478,90.478,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,590.53,590.53,590.53,590.53,590.53,91.009,91.009,91.009,91.009,91.009,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,587.09,587.09,587.09,587.09,587.09,90.478,90.478,90.478,90.478,90.478,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,590.53,590.53,590.53,590.53,590.53,91.009,91.009,91.009,91.009,91.009,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,587.09,587.09,587.09,587.09,587.09,90.478,90.478,90.478,90.478,90.478,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,590.53,590.53,590.53,590.53,590.53,91.009,91.009,91.009,91.009,91.009,9,9,9,9,9,90.0,90.0,90.0,90.0,90.0,587.09,587.09,587.09,587.09,587.09,90.478,90.478,90.478,90.478,90.478
A,2:2,15,15,15,982.12,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,925.24,925.24,925.24,925.24,925.24,94.209,94.209,94.209,94.209,94.209,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,920.79,920.79,920.79,920.79,920.79,93.756,93.756,93.756,93.756,93.756,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,925.24,925.24,925.24,925.24,925.24,94.209,94.209,94.209,94.209,94.209,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,920.79,920.79,920.79,920.79,920.79,93.756,93.756,93.756,93.756,93.756,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,925.24,925.24,925.24,925.24,925.24,94.209,94.209,94.209,94.209,94.209,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,920.79,920.79,920.79,920.79,920.79,93.756,93.756,93.756,93.756,93.756,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,925.24,925.24,925.24,925.24,925.24,94.209,94.209,94.209,94.209,94.209,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,920.79,920.79,920.79,920.79,920.79,93.756,93.756,93.756,93.756,93.756,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,925.24,925.24,925.24,925.24,925.24,94.209,94.209,94.209,94.209,94.209,14,14,14,14,14,93.333,93.333,93.333,93.333,93.333,920.79,920.79,920.79,920.79,920.79,93.756,93.756,93.756,93.756,93.756
A,2:2,25,25,25,1664.34,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1608.7,1608.7,1608.7,1608.7,1608.7,96.657,96.657,96.657,96.657,96.657,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1603.12,1603.12,1603.12,1603.12,1603.12,96.322,96.322,96.322,96.322,96.322,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1608.7,1608.7,1608.7,1608.7,1608.7,96.657,96.657,96.657,96.657,96.657,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1603.12,1603.12,1603.12,1603.12,1603.12,96.322,96.322,96.322,96.322,96.322,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1608.7,1608.7,1608.7,1608.7,1608.7,96.657,96.657,96.657,96.657,96.657,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1603.12,1603.12,1603.12,1603.12,1603.12,96.322,96.322,96.322,96.322,96.322,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1608.7,1608.7,1608.7,1608.7,1608.7,96.657,96.657,96.657,96.657,96.657,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1603.12,1603.12,1603.12,1603.12,1603.12,96.322,96.322,96.322,96.322,96.322,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1608.7,1608.7,1608.7,1608.7,1608.7,96.657,96.657,96.657,96.657,96.657,24,24,24,24,24,96.0,96.0,96.0,96.0,96.0,1603.12,1603.12,1603.12,1603.12,1603.12,96.322,96.322,96.322,96.322,96.322
A,2:2,50,50,50,4239.18,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4200.36,4200.36,4200.36,4200.36,4200.36,99.084,99.084,99.084,99.084,99.084,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4177.14,4177.14,4177.14,4177.14,4177.14,98.537,98.537,98.537,98.537,98.537,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4200.36,4200.36,4200.36,4200.36,4200.36,99.084,99.084,99.084,99.084,99.084,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4177.14,4177.14,4177.14,4177.14,4177.14,98.537,98.537,98.537,98.537,98.537,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4200.36,4200.36,4200.36,4200.36,4200.36,99.084,99.084,99.084,99.084,99.084,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4177.14,4177.14,4177.14,4177.14,4177.14,98.537,98.537,98.537,98.537,98.537,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4200.36,4200.36,4200.36,4200.36,4200.36,99.084,99.084,99.084,99.084,99.084,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4177.14,4177.14,4177.14,4177.14,4177.14,98.537,98.537,98.537,98.537,98.537,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4200.36,4200.36,4200.36,4200.36,4200.36,99.084,99.084,99.084,99.084,99.084,49,49,49,49,49,98.0,98.0,98.0,98.0,98.0,4177.14,4177.14,4177.14,4177.14,4177.14,98.537,98.537,98.537,98.537,98.537
A,2:2,100,75,75,13609.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0,75,75,75,75,75,100.0,100.0,100.0,100.0,100.0,13609.0,13609.0,13609.0,13609.0,13609.0,100.0,100.0,100.0,100.0,100.0
A,2:2,500,380,380,46503.32,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0,380,380,380,380,380,100.0,100.0,100.0,100.0,100.0,46503.32,46503.32,46503.32,46503.32,46503.32,100.0,100.0,100.0,100.0,100.0
