stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:16,2,1,1,80838,1,100.0,80838.0,100.0,1,100.0,80838.0,100.0
A,1:16,3,2,2,111598,1,50.0,90134.0,80.767,1,50.0,90134.0,80.767
A,1:16,4,3,3,124482,2,66.666,108739.33,87.353,2,66.666,108739.33,87.353
A,1:16,5,4,4,157397,3,75.0,142726.0,90.679,3,75.0,142726.0,90.679
A,1:16,10,7,7,251836,7,100.0,251836.0,100.0,7,100.0,251836.0,100.0
A,1:16,15,8,8,409212,8,100.0,409212.0,100.0,8,100.0,409212.0,100.0
A,1:16,25,15,15,703275,15,100.0,703275.0,100.0,15,100.0,703275.0,100.0
A,1:16,50,26,26,7354283,25,96.153,7289374.23,99.117,25,96.153,7289374.23,99.117
A,1:16,100,52,53,31365203,52,98.113,31365203.0,100.0,52,98.113,31137457.79,99.274
A,1:16,500,254,254,117874472,254,100.0,117874472.0,100.0,254,100.0,117874472.0,100.0
A,1:16,1000,516,516,204650651,515,99.806,204353897.99,99.855,516,100.0,204650651.0,100.0
A,1:16,2000,1020,1020,262375424,1018,99.803,262191034.71,99.93,1019,99.901,262283229.35,99.965
A,1:16,5000,2536,2536,1062502110,2535,99.96,1062196710.0,99.971,2536,100.0,1062502110.0,100.0
A,1:16,10000,5063,5064,2156686861,5063,99.98,2156686861.0,100.0,5063,99.98,2156573433.26,99.995
A,1:16,10466,5286,5286,2535820628,5285,99.981,2535701082.97,99.995,5285,99.981,2535701082.97,99.995
AGNC,1:16,2,2,2,14560,1,50.0,10160.0,69.78,1,50.0,10160.0,69.78
AGNC,1:16,3,2,2,20000,2,100.0,20000.0,100.0,2,100.0,20000.0,100.0
AGNC,1:16,4,3,3,25119,2,66.666,18773.33,74.738,2,66.666,18773.33,74.738
AGNC,1:16,5,4,4,31039,3,75.0,26719.0,86.082,3,75.0,26719.0,86.082
AGNC,1:16,10,7,7,70430,6,85.714,65351.14,92.789,6,85.714,65351.14,92.789
AGNC,1:16,15,9,9,101151,9,100.0,101151.0,100.0,9,100.0,101151.0,100.0
AGNC,1:16,25,16,16,321980,15,93.75,307676.0,95.557,16,100.0,321980.0,100.0
AGNC,1:16,50,27,27,1295578,27,100.0,1295578.0,100.0,27,100.0,1295578.0,100.0
AGNC,1:16,100,55,55,2376117,54,98.181,2354409.95,99.086,54,98.181,2354409.95,99.086
AGNC,1:16,500,254,254,32331451,253,99.606,32286353.11,99.861,253,99.606,32286353.11,99.861
AGNC,1:16,1000,513,513,61275028,513,100.0,61275028.0,100.0,513,100.0,61275028.0,100.0
AGNC,1:16,2000,1009,1009,147458136,1007,99.801,147344313.18,99.923,1008,99.9,147401224.59,99.961
AGNC,1:16,5000,2534,2534,370552194,2533,99.96,370497497.16,99.985,2534,100.0,370552194.0,100.0
AGNC,1:16,6200,3125,3125,438947813,3125,100.0,438947813.0,100.0,3125,100.0,438947813.0,100.0
AMZN,1:16,2,1,1,8512,1,100.0,8512.0,100.0,1,100.0,8512.0,100.0
AMZN,1:16,3,2,2,12018,1,50.0,10176.0,84.673,1,50.0,10176.0,84.673
AMZN,1:16,4,2,2,15842,2,100.0,15842.0,100.0,2,100.0,15842.0,100.0
AMZN,1:16,5,3,3,18015,2,66.666,17010.0,94.421,2,66.666,17010.0,94.421
AMZN,1:16,10,6,6,34201,4,66.666,30356.33,88.759,5,83.333,32278.67,94.379
AMZN,1:16,15,9,9,42883,7,77.777,40946.56,95.484,8,88.888,41914.78,97.742
AMZN,1:16,25,15,15,55694,14,93.333,54269.93,97.443,14,93.333,54269.93,97.443
AMZN,1:16,50,27,28,246694,26,92.857,239154.22,96.944,27,96.428,245154.0,99.376
AMZN,1:16,100,55,55,1061191,53,96.363,1046362.2,98.603,55,100.0,1061191.0,100.0
AMZN,1:16,500,254,254,143799582,253,99.606,143743912.83,99.961,253,99.606,143743912.83,99.961
AMZN,1:16,1000,503,503,410345560,503,100.0,410345560.0,100.0,503,100.0,410345560.0,100.0
AMZN,1:16,2000,1007,1007,631108419,1006,99.9,630858502.23,99.96,1006,99.9,630858502.23,99.96
AMZN,1:16,5000,2525,2525,10070413629,2524,99.96,10069833825.68,99.994,2524,99.96,10069833825.68,99.994
AMZN,1:16,10000,5046,5046,36769014732,5046,100.0,36769014732.0,100.0,5046,100.0,36769014732.0,100.0
AMZN,1:16,11734,5912,5912,65494813264,5912,100.0,65494813264.0,100.0,5912,100.0,65494813264.0,100.0
BA,1:16,2,2,2,276,1,50.0,253.0,91.667,1,50.0,253.0,91.667
BA,1:16,3,2,2,539,2,100.0,539.0,100.0,2,100.0,539.0,100.0
BA,1:16,4,3,3,642,2,66.666,592.33,92.264,2,66.666,592.33,92.264
BA,1:16,5,3,3,1010,3,100.0,1010.0,100.0,3,100.0,1010.0,100.0
BA,1:16,10,7,7,2540,7,100.0,2540.0,100.0,7,100.0,2540.0,100.0
BA,1:16,15,12,12,4373,9,75.0,3896.0,89.092,11,91.666,4214.0,96.364
BA,1:16,25,14,14,14233,13,92.857,13844.14,97.268,13,92.857,13844.14,97.268
BA,1:16,50,28,28,26887,27,96.428,26391.43,98.157,27,96.428,26391.43,98.157
BA,1:16,100,57,57,77693,55,96.491,76392.33,98.326,57,100.0,77693.0,100.0
BA,1:16,500,269,269,579626,266,98.884,575110.32,99.221,269,100.0,579626.0,100.0
BA,1:16,1000,505,505,4267628,504,99.801,4265526.35,99.951,504,99.801,4265526.35,99.951
BA,1:16,2000,1008,1008,23152956,1007,99.9,23136344.78,99.928,1008,100.0,23152956.0,100.0
BA,1:16,5000,2513,2513,92618209,2509,99.84,92591575.46,99.971,2512,99.96,92611550.62,99.993
BA,1:16,10000,5019,5019,1875893516,5017,99.96,1875782718.23,99.994,5018,99.98,1875838117.12,99.997
BA,1:16,20000,10039,10039,10956806673,10026,99.87,10956077121.19,99.993,10038,99.99,10956750553.63,99.999
BA,1:16,29544,14793,14810,20298709657,14788,99.851,20293065266.72,99.972,14809,99.993,20298466630.9,99.999
BAC,1:16,2,1,1,250,1,100.0,250.0,100.0,1,100.0,250.0,100.0
BAC,1:16,3,1,2,250,0,0.0,0.0,0.0,1,50.0,250.0,100.0
BAC,1:16,4,1,3,250,0,0.0,0.0,0.0,2,66.666,250.0,100.0
BAC,1:16,5,1,4,250,0,0.0,0.0,0.0,3,75.0,250.0,100.0
BAC,1:16,10,5,5,7250,5,100.0,7250.0,100.0,5,100.0,7250.0,100.0
BAC,1:16,15,8,8,26778,7,87.5,26212.0,97.886,7,87.5,26212.0,97.886
BAC,1:16,25,13,13,46572,12,92.307,45643.38,98.006,12,92.307,45643.38,98.006
BAC,1:16,50,25,25,80380,25,100.0,80380.0,100.0,25,100.0,80380.0,100.0
BAC,1:16,100,63,63,3823602,59,93.65,3815641.49,99.792,63,100.0,3823602.0,100.0
BAC,1:16,500,450,450,27275500,447,99.333,27222250.0,99.805,449,99.777,27257750.0,99.935
BAC,1:16,1000,947,947,38365500,942,99.472,38279250.0,99.775,946,99.894,38348250.0,99.955
BAC,1:16,2000,1946,1946,64647750,1942,99.794,64578750.0,99.893,1945,99.948,64630500.0,99.973
BAC,1:16,5000,3302,3302,316590036,3284,99.454,316064159.97,99.834,3301,99.969,316560820.67,99.991
BAC,1:16,10000,5014,5014,2047570171,5011,99.94,2046745959.13,99.96,5014,100.0,2047570171.0,100.0
BAC,1:16,20000,10048,10054,3665783589,10030,99.761,3663490257.87,99.937,10054,100.0,3665783589.0,100.0
BAC,1:16,23986,12062,12062,4539385749,12047,99.875,4535663368.79,99.918,12062,100.0,4539385749.0,100.0
C,1:16,2,2,2,2506,1,50.0,1668.0,66.56,1,50.0,1668.0,66.56
C,1:16,3,2,2,3336,2,100.0,3336.0,100.0,2,100.0,3336.0,100.0
C,1:16,4,3,3,4998,2,66.666,3885.33,77.738,2,66.666,3885.33,77.738
C,1:16,5,3,3,7478,3,100.0,7478.0,100.0,3,100.0,7478.0,100.0
C,1:16,10,7,7,23286,5,71.428,19952.29,85.684,6,85.714,21619.14,92.842
C,1:16,15,9,9,31596,9,100.0,31596.0,100.0,9,100.0,31596.0,100.0
C,1:16,25,16,16,49869,13,81.25,46590.0,93.425,15,93.75,48776.0,97.808
C,1:16,50,32,32,99850,28,87.5,94112.0,94.253,31,96.875,98415.5,98.563
C,1:16,100,55,55,367361,54,98.181,365329.47,99.447,54,98.181,365329.47,99.447
C,1:16,500,269,269,5564763,263,97.769,5510739.02,99.029,269,100.0,5564763.0,100.0
C,1:16,1000,513,513,19822864,503,98.05,19682923.57,99.294,513,100.0,19822864.0,100.0
C,1:16,2000,1010,1010,65900283,1008,99.801,65834193.3,99.9,1009,99.9,65867238.15,99.95
C,1:16,5000,2527,2527,1223402970,2526,99.96,1223310080.12,99.992,2526,99.96,1223310080.12,99.992
C,1:16,10000,5018,5018,19336796695,5018,100.0,19336796695.0,100.0,5018,100.0,19336796695.0,100.0
C,1:16,20000,10033,10034,38658540640,10024,99.9,38626917689.27,99.918,10033,99.99,38658201196.32,99.999
C,1:16,22032,11072,11079,39027024739,11070,99.918,39020697559.55,99.984,11079,100.0,39027024739.0,100.0
E,1:16,2,2,2,1600,0,0.0,0.0,0.0,1,50.0,800.0,50.0
E,1:16,3,3,3,2400,0,0.0,0.0,0.0,2,66.666,1600.0,66.667
E,1:16,4,3,3,9600,1,33.333,8000.0,83.333,3,100.0,9600.0,100.0
E,1:16,5,3,3,22400,2,66.666,21600.0,96.429,3,100.0,22400.0,100.0
E,1:16,10,5,7,40800,4,57.142,37440.0,91.765,6,85.714,38400.0,94.118
E,1:16,15,8,9,68800,7,77.777,64400.0,93.605,8,88.888,65066.67,94.574
E,1:16,25,13,15,181600,13,86.666,181600.0,100.0,14,93.333,176266.67,97.063
E,1:16,50,26,26,540800,25,96.153,529200.0,97.855,26,100.0,540800.0,100.0
E,1:16,100,52,54,1176800,50,92.592,1157846.15,98.389,53,98.148,1164133.33,98.924
E,1:16,500,253,254,21080889,252,99.212,21033313.73,99.774,253,99.606,21033501.03,99.775
E,1:16,1000,512,514,47955933,510,99.221,47893003.76,99.869,514,100.0,47955933.0,100.0
E,1:16,2000,1038,1038,109907298,1036,99.807,109801571.45,99.904,1037,99.903,109854434.72,99.952
E,1:16,5000,2519,2519,1042708043,2519,100.0,1042708043.0,100.0,2519,100.0,1042708043.0,100.0
E,1:16,10000,5017,5017,2051996129,5016,99.98,2051864458.75,99.994,5016,99.98,2051864458.75,99.994
E,1:16,12474,6275,6278,2336282430,6273,99.92,2335807913.57,99.98,6277,99.984,2336147436.83,99.994
EBAY,1:16,2,1,1,2469,1,100.0,2469.0,100.0,1,100.0,2469.0,100.0
EBAY,1:16,3,2,2,3431,1,50.0,2189.0,63.801,1,50.0,2189.0,63.801
EBAY,1:16,4,3,3,3690,2,66.666,2892.33,78.383,2,66.666,2892.33,78.383
EBAY,1:16,5,3,3,4298,3,100.0,4298.0,100.0,3,100.0,4298.0,100.0
EBAY,1:16,10,5,5,15187,5,100.0,15187.0,100.0,5,100.0,15187.0,100.0
EBAY,1:16,15,8,8,30909,7,87.5,29172.0,94.38,7,87.5,29172.0,94.38
EBAY,1:16,25,13,13,86010,13,100.0,86010.0,100.0,13,100.0,86010.0,100.0
EBAY,1:16,50,27,27,723777,27,100.0,723777.0,100.0,27,100.0,723777.0,100.0
EBAY,1:16,100,53,53,2377974,52,98.113,2349461.96,98.801,52,98.113,2349461.96,98.801
EBAY,1:16,500,266,266,15902192,265,99.624,15866336.64,99.775,265,99.624,15866336.64,99.775
EBAY,1:16,1000,524,524,24345836,523,99.809,24323006.31,99.906,523,99.809,24323006.31,99.906
EBAY,1:16,2000,1018,1018,142665763,1018,100.0,142665763.0,100.0,1018,100.0,142665763.0,100.0
EBAY,1:16,5000,2531,2531,584802293,2530,99.96,584722595.32,99.986,2530,99.96,584722595.32,99.986
