stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:2:3:4,2,2,2,59422,1,50.0,57407.0,96.609,1,50.0,53561.93,90.138
A,1:2:3:4,3,2,2,74310,2,100.0,74310.0,100.0,2,100.0,74310.0,100.0
A,1:2:3:4,4,3,3,79722,2,66.666,72223.33,90.594,2,66.666,69066.68,86.634
A,1:2:3:4,5,3,3,79722,2,66.666,72223.33,90.594,2,66.666,69066.68,86.634
A,1:2:3:4,10,3,3,93091,2,66.666,77082.33,82.803,2,66.666,77082.33,82.803
A,1:2:3:4,15,6,6,131327,5,83.333,124169.67,94.55,5,83.333,118791.96,90.455
A,1:2:3:4,25,7,7,195261,7,100.0,195261.0,100.0,7,100.0,195261.0,100.0
A,1:2:3:4,50,17,17,1959918,16,94.117,1918217.47,97.872,16,94.117,1886994.66,96.279
A,1:2:3:4,100,64,64,20126249,63,98.437,20044927.12,99.596,63,98.437,20032788.75,99.536
A,1:2:3:4,500,370,370,95647959,370,100.0,95647959.0,100.0,370,100.0,95647959.0,100.0
A,1:2:3:4,1000,468,468,104908181,468,100.0,104908181.0,100.0,468,100.0,104908181.0,100.0
A,1:2:3:4,2000,762,762,121609145,762,100.0,121609145.0,100.0,762,100.0,121609145.0,100.0
A,1:2:3:4,5000,2544,2544,599951038,2542,99.921,599708012.84,99.959,2543,99.96,599894084.27,99.991
A,1:2:3:4,10000,5063,5064,1213135303,5063,99.98,1213135303.0,100.0,5063,99.98,1213085676.73,99.996
A,1:2:3:4,10466,5286,5286,1426397985,5282,99.924,1425670507.79,99.949,5285,99.981,1426345681.09,99.996
AGNC,1:2:3:4,2,2,2,7534,1,50.0,5442.0,72.233,1,50.0,5399.33,71.666
AGNC,1:2:3:4,3,3,3,15739,2,66.666,13154.33,83.578,2,66.666,12778.18,81.188
AGNC,1:2:3:4,4,3,3,18894,3,100.0,18894.0,100.0,3,100.0,18894.0,100.0
AGNC,1:2:3:4,5,4,4,23204,3,75.0,19793.25,85.301,3,75.0,19532.96,84.179
AGNC,1:2:3:4,10,8,8,103889,7,87.5,98985.0,95.28,7,87.5,95722.22,92.139
AGNC,1:2:3:4,15,13,13,280730,12,92.307,272164.08,96.949,12,92.307,265915.99,94.723
AGNC,1:2:3:4,25,18,18,515913,18,100.0,515913.0,100.0,18,100.0,515913.0,100.0
AGNC,1:2:3:4,50,27,27,653851,26,96.296,639910.74,97.868,26,96.296,639910.74,97.868
AGNC,1:2:3:4,100,47,47,1078210,46,97.872,1071709.49,99.397,46,97.872,1067897.3,99.044
AGNC,1:2:3:4,500,182,182,11417425,181,99.45,11383354.91,99.702,181,99.45,11378448.9,99.659
AGNC,1:2:3:4,1000,682,682,54490049,681,99.853,54452211.78,99.931,681,99.853,54446804.55,99.921
AGNC,1:2:3:4,2000,1223,1223,102796045,1221,99.836,102682605.95,99.89,1223,100.0,102796045.0,100.0
AGNC,1:2:3:4,5000,2752,2752,222938317,2750,99.927,222915638.87,99.99,2751,99.963,222909200.2,99.987
AGNC,1:2:3:4,6200,3125,3125,246907608,3125,100.0,246907608.0,100.0,3125,100.0,246907608.0,100.0
AMZN,1:2:3:4,2,1,1,8389,1,100.0,8389.0,100.0,1,100.0,8389.0,100.0
AMZN,1:2:3:4,3,2,2,12359,1,50.0,8523.5,68.966,1,50.0,8523.5,68.966
AMZN,1:2:3:4,4,3,3,14674,2,66.666,12936.0,88.156,2,66.666,12731.6,86.763
AMZN,1:2:3:4,5,4,4,17261,3,75.0,15550.0,90.087,3,75.0,15347.43,88.914
AMZN,1:2:3:4,10,7,7,20682,6,85.714,18188.0,87.941,7,100.0,20682.0,100.0
AMZN,1:2:3:4,15,7,7,21490,7,100.0,21490.0,100.0,7,100.0,21490.0,100.0
AMZN,1:2:3:4,25,9,9,24038,7,77.777,22406.39,93.212,8,88.888,23045.05,95.869
AMZN,1:2:3:4,50,15,15,90477,14,93.333,85415.33,94.406,15,100.0,90477.0,100.0
AMZN,1:2:3:4,100,26,26,407891,25,96.153,405642.85,99.449,25,96.153,403981.07,99.041
AMZN,1:2:3:4,500,206,206,69591729,206,100.0,69591729.0,100.0,206,100.0,69591729.0,100.0
AMZN,1:2:3:4,1000,456,456,187905297,455,99.78,187780065.83,99.933,455,99.78,187762174.6,99.924
AMZN,1:2:3:4,2000,643,643,224753701,641,99.688,224423538.89,99.853,642,99.844,224588636.2,99.927
AMZN,1:2:3:4,5000,2531,2531,5670872056,2529,99.92,5668594354.29,99.96,2530,99.96,5670618800.89,99.996
AMZN,1:2:3:4,10000,4687,4687,20462742242,4685,99.957,20462087500.65,99.997,4686,99.978,20462414875.69,99.998
AMZN,1:2:3:4,11734,5912,5912,36840831329,5912,100.0,36840831329.0,100.0,5912,100.0,36840831329.0,100.0
BA,1:2:3:4,2,2,2,300,1,50.0,252.0,84.0,1,50.0,222.8,74.267
BA,1:2:3:4,3,3,3,549,2,66.666,511.0,93.078,2,66.666,474.0,86.339
BA,1:2:3:4,4,3,3,603,2,66.666,494.33,81.979,2,66.666,494.33,81.979
BA,1:2:3:4,5,3,3,619,3,100.0,619.0,100.0,3,100.0,619.0,100.0
BA,1:2:3:4,10,4,4,861,3,75.0,746.0,86.643,3,75.0,715.84,83.141
BA,1:2:3:4,15,5,5,1373,4,80.0,1319.2,96.082,4,80.0,1206.36,87.863
BA,1:2:3:4,25,14,14,9186,14,100.0,9186.0,100.0,14,100.0,9186.0,100.0
BA,1:2:3:4,50,39,39,52625,37,94.871,50692.07,96.327,38,97.435,51745.37,98.329
BA,1:2:3:4,100,76,76,136190,75,98.684,135260.13,99.317,75,98.684,135146.01,99.233
BA,1:2:3:4,500,140,140,232590,140,100.0,232590.0,100.0,140,100.0,232590.0,100.0
BA,1:2:3:4,1000,477,477,2372214,476,99.79,2367744.23,99.812,477,100.0,2372214.0,100.0
BA,1:2:3:4,2000,933,933,13163580,931,99.785,13155646.47,99.94,932,99.892,13159306.77,99.968
