stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,0.090,1.03,42430.27,42430.27,0.36,25.75,36842.60,33.280,35191.93,30.197,0.21,10.60,18022.36,18.128,16371.69,15.045,0.48,39.39,38431.06,43.586,38431.06,43.586,0.48,37.87,38049.24,42.983,38049.24,42.983
Average,1:1,3,1.45,0.242,1.45,48725.84,48725.84,0.96,65.15,44367.30,75.724,41216.93,69.630,0.48,24.24,15218.27,38.265,9303.27,28.046,0.87,59.09,40168.68,66.598,40168.68,66.598,0.90,62.12,41895.95,69.628,41895.95,69.628
Average,1:1,4,1.69,0.287,1.69,208933.84,208933.84,1.27,75.75,192238.21,85.318,163939.15,78.332,0.72,28.78,90708.84,41.732,58235.27,30.554,1.39,82.32,204730.78,86.737,204730.78,86.737,1.39,82.32,204730.78,86.737,204730.78,86.737
Average,1:1,5,2.63,0.565,2.63,220224.24,220224.24,2.30,89.39,216001.57,98.287,206963.48,94.397,1.63,56.56,191533.06,77.456,155503.48,57.511,2.06,78.78,193272.10,88.641,193272.10,88.641,2.09,79.54,196858.47,88.917,196858.47,88.917
Average,1:1,10,4.96,0.787,4.96,743819.30,743819.30,4.48,90.62,739723.54,98.731,722411.36,93.610,3.96,78.70,724629.30,95.141,654107.27,78.327,4.48,90.06,734823.71,96.875,734823.71,96.875,4.48,90.06,734823.71,96.875,734823.71,96.875
Average,1:1,15,7.48,0.862,7.48,835015.81,835015.81,7.00,93.84,831790.63,99.241,807842.66,93.619,6.48,86.27,809612.12,97.526,675606.45,82.341,6.84,91.41,804373.84,96.960,804373.84,96.960,6.84,91.41,804373.84,96.960,804373.84,96.960
Average,1:1,25,13.00,0.920,13.03,1390052.21,1390052.21,12.48,95.80,1387970.96,99.828,1359927.00,97.765,12.03,92.11,1385675.18,99.492,1336350.18,94.025,12.33,94.85,1375919.78,98.444,1375919.78,98.444,12.42,95.33,1382831.90,98.576,1382831.90,98.576
Average,1:1,50,24.78,0.959,24.78,2598789.18,2598789.18,24.33,98.09,2598437.27,99.962,2591046.57,99.142,23.78,95.91,2595256.63,99.837,2513489.63,96.025,24.24,97.78,2591955.53,99.327,2591955.53,99.327,24.27,97.92,2592100.72,99.336,2592100.72,99.336
Average,1:1,100,50.66,0.980,50.69,5442941.18,5442941.18,50.24,99.09,5441453.06,99.981,5372001.18,99.069,49.69,98.01,5440426.90,99.961,5318789.18,98.041,50.15,98.97,5436067.40,99.710,5436067.40,99.710,50.21,99.03,5436472.21,99.740,5436472.21,99.740
Average,1:1,500,250.72,0.996,250.90,28488007.24,28488007.24,250.30,99.75,28487937.30,99.999,28470834.36,99.878,249.90,99.60,28487840.48,99.998,28446384.66,99.720,249.93,99.68,28468534.60,99.909,28468534.60,99.909,250.39,99.79,28480065.38,99.944,28480065.38,99.944
Average,1:1,1000,500.57,0.998,501.18,56565519.96,56565519.96,500.45,99.85,56565437.15,99.999,56524105.78,99.918,500.18,99.80,56565389.21,99.999,56499989.18,99.866,499.57,99.79,56539432.70,99.939,56539432.70,99.939,500.51,99.86,56555245.63,99.960,56555245.63,99.960
Average,1:1,2000,997.90,0.998,998.18,115587407.60,115587407.60,997.51,99.93,115587390.84,99.999,115570856.78,99.955,997.18,99.89,115587360.57,99.999,115540704.63,99.904,996.93,99.90,115513945.06,99.965,115513945.06,99.965,997.75,99.95,115578802.01,99.988,115578802.01,99.988
Average,1:1,5000,2496.18,0.999,2498.09,287748209.39,287748209.39,2497.39,99.97,287748194.45,99.999,287710909.72,99.988,2497.09,99.95,287748148.78,99.999,287595346.60,99.963,2494.63,99.93,287708426.13,99.979,287708426.13,99.979,2497.63,99.98,287742310.96,99.993,287742310.96,99.993
