,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,optimal_gft_with_gft_zero,McAfee_count,McAfee_count_ratio,McAfee_total_gft,McAfee_total_gft_ratio,McAfee_market_gft,McAfee_market_gft_ratio,McAfee_Without_Heuristic_count,McAfee_Without_Heuristic_count_ratio,McAfee_Without_Heuristic_total_gft,McAfee_Without_Heuristic_total_gft_ratio,McAfee_Without_Heuristic_market_gft,McAfee_Without_Heuristic_market_gft_ratio,SBB_External_Competition_count,SBB_External_Competition_count_ratio,SBB_External_Competition_total_gft,SBB_External_Competition_total_gft_ratio,SBB_External_Competition_market_gft,SBB_External_Competition_market_gft_ratio,SBB_Ascending_Prices_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_total_gft,SBB_Ascending_Prices_total_gft_ratio,SBB_Ascending_Prices_market_gft,SBB_Ascending_Prices_market_gft_ratio
A,1:1,2,1,1,5052,5052,1,100.0,5052.0,100.0,5052.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,5052.0,100.0,5052.0,100.0,1,100.0,5052.0,100.0,5052.0,100.0
A,1:1,3,2,2,6974,6974,1,50.0,6214.0,89.102,5454.0,78.205,1,50.0,6214.0,89.102,5454.0,78.205,1,50.0,5633.0,80.771,5633.0,80.771,1,50.0,5633.0,80.771,5633.0,80.771
A,1:1,4,3,3,7779,7779,2,66.666,7287.0,93.675,6303.0,81.026,2,66.666,7287.0,93.675,6303.0,81.026,2,66.666,6795.33,87.355,6795.33,87.355,2,66.666,6795.33,87.355,6795.33,87.355
A,1:1,5,4,4,9836,9836,3,75.0,9791.0,99.542,9656.0,98.17,3,75.0,9791.0,99.542,9656.0,98.17,3,75.0,8919.25,90.68,8919.25,90.68,3,75.0,8919.25,90.68,8919.25,90.68
A,1:1,10,7,7,15737,15737,7,100.0,15737.0,100.0,15737.0,100.0,6,85.714,15424.0,98.011,13546.0,86.077,6,85.714,14657.71,93.142,14657.71,93.142,7,100.0,15737.0,100.0,15737.0,100.0
A,1:1,15,8,8,25572,25572,8,100.0,25572.0,100.0,25572.0,100.0,7,87.5,24812.0,97.028,19492.0,76.224,8,100.0,25572.0,100.0,25572.0,100.0,8,100.0,25572.0,100.0,25572.0,100.0
A,1:1,25,15,15,43947,43947,14,93.333,43857.0,99.795,42597.0,96.928,14,93.333,43857.0,99.795,42597.0,96.928,14,93.333,42074.8,95.74,42074.8,95.74,15,100.0,43947.0,100.0,43947.0,100.0
A,1:1,50,26,26,459632,459632,25,96.153,459587.0,99.99,458462.0,99.745,25,96.153,459587.0,99.99,458462.0,99.745,25,96.153,455575.58,99.117,455575.58,99.117,25,96.153,455575.58,99.117,455575.58,99.117
A,1:1,100,52,53,1960301,1960301,52,98.113,1960301.0,100.0,1960301.0,100.0,52,98.113,1960301.0,100.0,1960301.0,100.0,52,100.0,1960301.0,100.0,1960301.0,100.0,52,98.113,1946066.92,99.274,1946066.92,99.274
A,1:1,500,254,254,7367040,7367040,254,100.0,7367040.0,100.0,7367040.0,100.0,253,99.606,7366951.0,99.999,7344434.0,99.693,253,99.606,7357249.17,99.867,7357249.17,99.867,254,100.0,7367040.0,100.0,7367040.0,100.0
A,1:1,1000,515,516,12790433,12790433,515,99.806,12790433.0,100.0,12790433.0,100.0,515,99.806,12790433.0,100.0,12790433.0,100.0,515,100.0,12790433.0,100.0,12790433.0,100.0,516,100.0,12790433.0,100.0,12790433.0,100.0
A,1:1,2000,1018,1020,16397989,16397989,1019,99.901,16397989.0,100.0,16397989.0,100.0,1019,99.901,16397989.0,100.0,16397989.0,100.0,1016,99.803,16377318.76,99.874,16377318.76,99.874,1019,99.901,16392227.4,99.965,16392227.4,99.965
A,1:1,5000,2535,2536,66405327,66405327,2535,99.96,66405327.0,100.0,66405327.0,100.0,2535,99.96,66405327.0,100.0,66405327.0,100.0,2532,99.881,66384024.65,99.968,66384024.65,99.968,2536,100.0,66405327.0,100.0,66405327.0,100.0
A,1:1,10000,5063,5064,134790841,134790841,5063,99.98,134790841.0,100.0,134790841.0,100.0,5063,99.98,134790841.0,100.0,134790841.0,100.0,5063,100.0,134790841.0,100.0,134790841.0,100.0,5063,99.98,134783751.77,99.995,134783751.77,99.995
A,1:1,10466,5285,5286,158486616,158486616,5285,99.981,158486616.0,100.0,158486616.0,100.0,5285,99.981,158486616.0,100.0,158486616.0,100.0,5282,99.943,158419068.48,99.957,158419068.48,99.957,5285,99.981,158479145.25,99.995,158479145.25,99.995
AGNC,1:1,2,2,2,910,910,1,50.0,760.0,83.516,610.0,67.033,1,50.0,760.0,83.516,610.0,67.033,1,50.0,635.0,69.78,635.0,69.78,1,50.0,635.0,69.78,635.0,69.78
AGNC,1:1,3,2,2,1250,1250,2,100.0,1250.0,100.0,1250.0,100.0,1,50.0,760.0,60.8,270.0,21.6,2,100.0,1250.0,100.0,1250.0,100.0,2,100.0,1250.0,100.0,1250.0,100.0
AGNC,1:1,4,3,3,1569,1569,3,100.0,1569.0,100.0,1569.0,100.0,2,66.666,1260.0,80.306,642.0,40.918,2,66.666,1173.33,74.782,1173.33,74.782,2,66.666,1173.33,74.782,1173.33,74.782
AGNC,1:1,5,4,4,1939,1939,3,75.0,1789.0,92.264,1339.0,69.056,3,75.0,1789.0,92.264,1339.0,69.056,3,75.0,1669.0,86.075,1669.0,86.075,3,75.0,1669.0,86.075,1669.0,86.075
