stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,0.090,1.00,141689.36,141689.36,0.51,42.42,105397.54,47.905,82812.42,44.295,0.18,9.09,93358.24,14.571,70773.12,10.961,0.54,45.45,106256.07,49.490,106256.07,49.490,0.54,45.45,106256.07,49.490,106256.07,49.490
Average,1:1,3,1.42,0.222,1.45,111959.33,111959.33,1.00,64.64,66090.60,74.300,61659.63,69.344,0.51,23.73,38396.27,35.787,28599.81,25.651,0.90,58.58,63053.42,64.733,63053.42,64.733,0.90,57.07,62982.06,64.325,62982.06,64.325
Average,1:1,4,1.96,0.409,1.96,301550.63,301550.63,1.36,64.14,283883.39,78.817,258042.63,71.345,1.00,40.90,273400.54,60.457,241617.69,45.821,1.30,65.15,267414.52,78.309,267414.52,78.309,1.30,65.15,267414.52,78.309,267414.52,78.309
Average,1:1,5,2.60,0.565,2.60,424318.27,424318.27,2.12,79.79,415502.66,88.841,407970.30,79.654,1.60,56.56,338055.78,75.048,201529.60,50.416,2.21,84.84,414160.11,90.535,414160.11,90.535,2.21,84.84,414160.11,90.535,414160.11,90.535
Average,1:1,10,4.90,0.786,4.90,894520.15,894520.15,4.48,91.40,884189.96,98.568,830279.06,93.055,3.90,78.62,875292.24,94.221,786591.54,75.013,4.36,88.75,865884.11,94.741,865884.11,94.741,4.36,88.75,865884.11,94.741,865884.11,94.741
Average,1:1,15,7.36,0.858,7.36,819250.24,819250.24,6.90,93.78,818269.39,99.483,811509.96,96.309,6.36,85.80,802651.03,97.955,701671.60,86.093,6.87,93.38,811326.42,97.011,811326.42,97.011,6.87,93.38,811326.42,97.011,811326.42,97.011
Average,1:1,25,12.78,0.920,12.78,1684243.45,1684243.45,12.18,95.21,1682828.18,99.732,1665258.12,96.626,11.78,92.02,1680573.45,99.411,1635836.18,92.704,12.21,95.39,1667775.98,98.419,1667775.98,98.419,12.21,95.39,1667775.98,98.419,1667775.98,98.419
Average,1:1,50,25.66,0.960,25.69,2394222.72,2394222.72,25.09,97.62,2390930.18,99.930,2315934.12,98.297,24.69,96.08,2390272.87,99.860,2299138.33,96.464,25.33,98.70,2384305.49,99.633,2384305.49,99.633,25.36,98.72,2385414.92,99.682,2385414.92,99.682
Average,1:1,100,50.51,0.980,50.54,5402488.36,5402488.36,50.06,99.06,5402287.75,99.989,5391576.48,99.431,49.54,98.00,5400937.39,99.960,5329281.87,98.044,50.03,99.04,5397375.32,99.695,5397375.32,99.695,50.09,99.10,5393024.72,99.718,5393024.72,99.718
Average,1:1,500,251.12,0.996,251.27,27422314.84,27422314.84,250.87,99.84,27422291.63,99.999,27416440.63,99.952,250.27,99.60,27421837.72,99.997,27300981.42,99.424,250.30,99.67,27374534.13,99.862,27374534.13,99.862,250.72,99.78,27412437.78,99.937,27412437.78,99.937
Average,1:1,1000,498.00,0.997,498.42,57324127.45,57324127.45,497.84,99.88,57324109.18,99.999,57314871.18,99.965,497.42,99.79,57324017.87,99.999,57269427.72,99.880,496.87,99.77,57275113.85,99.902,57275113.85,99.902,497.72,99.86,57308466.52,99.958,57308466.52,99.958
Average,1:1,2000,996.81,0.998,997.69,112187776.36,112187776.36,997.00,99.93,112187747.66,99.999,112159126.27,99.971,996.69,99.89,112187729.06,99.999,112140543.15,99.935,995.15,99.83,111900496.88,99.893,111900496.88,99.893,997.36,99.96,112177788.71,99.989,112177788.71,99.989
Average,1:1,5000,2497.90,0.999,2499.75,285131769.78,285131769.78,2499.03,99.97,285131756.90,99.999,285099397.69,99.997,2498.75,99.95,285131750.66,99.999,285083837.30,99.984,2495.45,99.90,284729762.30,99.941,284729762.30,99.941,2499.12,99.97,285121400.22,99.991,285121400.22,99.991
