iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50,[0- [1- None- 2- [3- None]]],2,1.12,0.92,0.92,0.0,0.36,32.142857142857146,757.4878988084287,368.2159875211897,48.610147845320604
50,[0- [1- None- 2- [3- None]]],4,1.98,1.14,1.36,12.28070175438596,1.06,53.535353535353536,1578.6610448700906,1120.4954406286497,70.97758219028304
50,[0- [1- None- 2- [3- None]]],6,3.08,1.32,1.94,24.24242424242424,2.28,74.02597402597402,2726.2227533144746,2391.7229248910585,87.73028256708885
50,[0- [1- None- 2- [3- None]]],10,5.02,2.0,3.02,50.0,4.12,82.07171314741035,4721.443439802862,4470.61958458109,94.68755988672302
50,[0- [1- None- 2- [3- None]]],16,8.1,3.42,4.68,70.76023391812865,7.24,89.38271604938272,7717.327732062537,7594.995057130459,98.414831154263
50,[0- [1- None- 2- [3- None]]],26,12.66,5.46,7.2,81.6849816849817,11.84,93.52290679304896,12174.610601998676,12091.590447646391,99.31808780529991
50,[0- [1- None- 2- [3- None]]],50,24.32,10.82,13.5,90.75785582255081,23.36,96.05263157894736,24131.61060709044,24071.75651928762,99.75196811859202
50,[0- [1- None- 2- [3- None]]],100,49.36,23.08,26.28,95.66724436741768,48.46,98.17666126418152,49304.87671907669,49278.390417398965,99.94628056403296
50,[0- [1- None- 2- [3- None]]],500,250.24,121.8,128.44,99.17898193760263,249.44,99.68030690537084,249817.9337507759,249812.3195981533,99.99775270232271
50,[0- [1- None- 2- [3- None]]],1000,501.56,244.7,256.86,99.59133633020024,500.8,99.84847276497328,500126.3787252421,500124.25363640214,99.99957508963129
50,[0- [1- None- 2- [3- None]]],2000,1002.06,494.0,508.06,99.79757085020245,1001.24,99.91816857274016,1000596.228426373,1000595.0140219228,99.9998786319181
50,[0- [1- None- 2- [3- None]]],5000,2501.5,1238.58,1262.92,99.91926238111387,2500.64,99.96562062762344,2497367.0890621096,2497366.4215442385,99.99997327113527
50,[0- [1- None- 2- [3- None]]],2,0.96,0.86,0.86,0.0,0.22,22.916666666666664,783.5516855132508,201.79962587657238,25.754475372532358
50,[0- [1- None- 2- [3- None]]],4,2.02,1.22,1.46,9.90990990990991,1.18,58.415841584158414,1709.2345595075242,1279.3057295001124,74.84670388765802
50,[0- [1- None- 2- [3- None]]],6,3.06,1.3,2.0,13.043478260869568,2.0,65.359477124183,2674.521371538884,2291.707129202958,85.68662616011702
50,[0- [1- None- 2- [3- None]]],10,4.9,1.92,2.98,31.506849315068493,4.02,82.0408163265306,4639.186276439595,4382.568688983228,94.46847847520985
50,[0- [1- None- 2- [3- None]]],16,8.14,3.46,4.68,55.15695067264574,7.24,88.94348894348894,7476.300266903784,7360.926456036054,98.45680608390664
50,[0- [1- None- 2- [3- None]]],26,13.0,5.66,7.34,69.96996996996997,12.28,94.46153846153847,12685.018497568173,12592.370436745674,99.2696261275436
50,[0- [1- None- 2- [3- None]]],50,25.1,11.32,13.78,83.76623376623377,24.38,97.13147410358566,24657.861461027944,24611.387487286516,99.81152471873978
50,[0- [1- None- 2- [3- None]]],100,49.78,23.12,26.66,91.70812603648424,48.94,98.31257533145842,49372.7954918846,49345.717560163364,99.9451561706169
50,[0- [1- None- 2- [3- None]]],500,249.76,120.72,129.04,98.35688465330266,248.92,99.66367713004485,250136.59723447927,250130.8625201056,99.9977073669199
50,[0- [1- None- 2- [3- None]]],1000,502.56,246.3,256.26,99.19126566922766,501.78,99.8447946513849,503151.39497380494,503148.5170151835,99.99942801338719
50,[0- [1- None- 2- [3- None]]],2000,1001.32,493.5,507.82,99.59555106167846,1000.42,99.91011864339072,999922.976435964,999921.6560264518,99.99986794887774
50,[0- [1- None- 2- [3- None]]],5000,2497.52,1235.9,1261.62,99.83830544102192,2496.6,99.96316345815049,2496717.0454201396,2496716.482573392,99.9999774565264
