iterations,recipe,numofagents,meanoptimalcount,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
5000,[0- [1- None- 2- [3- None]]],2,1.125,0.464,41.219,449.596,251.779,56.001
5000,[0- [1- None- 2- [3- None]]],3,1.725,0.95,55.042,732.868,528.403,72.101
5000,[0- [1- None- 2- [3- None]]],4,2.326,1.469,63.175,1036.997,825.428,79.598
5000,[0- [1- None- 2- [3- None]]],5,2.926,2.022,69.099,1323.554,1125.507,85.037
5000,[0- [1- None- 2- [3- None]]],10,5.928,4.936,83.275,2797.772,2661.856,95.142
5000,[0- [1- None- 2- [3- None]]],15,8.955,7.958,88.868,4326.001,4229.707,97.774
5000,[0- [1- None- 2- [3- None]]],25,14.936,13.952,93.409,7320.314,7259.747,99.173
5000,[0- [1- None- 2- [3- None]]],50,29.919,28.91,96.628,14797.441,14765.026,99.781
5000,[0- [1- None- 2- [3- None]]],100,59.886,58.886,98.33,29753.342,29737.724,99.948
5000,[0- [1- None- 2- [3- None]]],500,299.61,298.614,99.667,149428.935,149425.805,99.998
5000,[0- [1- None- 2- [3- None]]],1000,599.687,598.684,99.832,299207.341,299205.737,99.999
