iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
1000,[0- [1- None- 2- [3- None]]],2,1.00,0.83,0.83,0.000,0.26,26.052,742.9,274.6,36.960
1000,[0- [1- None- 2- [3- None]]],4,1.98,1.12,1.35,10.873,1.12,56.408,1711.6,1281.0,74.839
1000,[0- [1- None- 2- [3- None]]],6,3.05,1.33,1.95,24.642,2.16,70.772,2737.7,2389.4,87.276
1000,[0- [1- None- 2- [3- None]]],10,5.02,1.99,3.10,49.622,4.13,82.314,4730.1,4481.7,94.750
1000,[0- [1- None- 2- [3- None]]],16,8.06,3.39,4.68,70.536,7.22,89.562,7712.2,7568.1,98.133
1000,[0- [1- None- 2- [3- None]]],26,13.03,5.61,7.42,82.172,12.14,93.183,12639.3,12542.6,99.235
1000,[0- [1- None- 2- [3- None]]],50,24.99,11.24,13.75,91.100,24.11,96.498,24583.0,24531.1,99.789
1000,[0- [1- None- 2- [3- None]]],100,49.97,23.24,26.73,95.697,49.10,98.253,49508.0,49482.5,99.949
1000,[0- [1- None- 2- [3- None]]],500,250.21,121.13,129.08,99.174,249.36,99.659,249619.2,249613.7,99.998
1000,[0- [1- None- 2- [3- None]]],1000,500.11,244.52,255.59,99.591,499.21,99.819,499368.0,499365.2,99.999
