iterations,recipe,numofagents,meanoptimalcount,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
50000,[0- [1- None- 2- [3- None]]],2,1.1,0.5,41.29,451.1,254.7,56.47
50000,[0- [1- None- 2- [3- None]]],3,1.7,0.9,54.947,739.9,530.0,71.632
50000,[0- [1- None- 2- [3- None]]],4,2.3,1.5,62.781,1029.9,819.6,79.583
50000,[0- [1- None- 2- [3- None]]],5,2.9,2.0,68.641,1327.2,1124.9,84.757
50000,[0- [1- None- 2- [3- None]]],10,5.9,4.9,83.266,2816.7,2679.1,95.115
50000,[0- [1- None- 2- [3- None]]],15,8.9,7.9,88.815,4310.8,4213.4,97.741
50000,[0- [1- None- 2- [3- None]]],25,14.9,13.9,93.314,7292.1,7231.8,99.172
50000,[0- [1- None- 2- [3- None]]],50,29.9,28.9,96.651,14769.6,14738.5,99.789
50000,[0- [1- None- 2- [3- None]]],100,59.9,58.9,98.321,29776.9,29761.0,99.947
50000,[0- [1- None- 2- [3- None]]],500,299.8,298.8,99.665,149551.1,149547.9,99.998
50000,[0- [1- None- 2- [3- None]]],1000,599.7,598.7,99.833,299279.0,299277.4,99.999
