stockname,recipe,numpossibletrades,meanoptimalkmin,meanoptimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,,,0,1.006060606060606,180318.72424242424,0.29393939393939394,22.272727272727273,61536.75757575758,26.31161737629655
Average,[0-> [1-> None-> 2-> [3-> None]]],4,,,12.466843501326252,2.003030303030303,342249.3090909091,1.1363636363636362,54.41919191919192,258693.6878787879,69.76753220230742
Average,[0-> [1-> None-> 2-> [3-> None]]],6,,,21.800947867298582,3.012121212121212,562033.7303030302,2.1303030303030304,70.38383838383844,498832.7878787879,88.17112387839701
Average,[0-> [1-> None-> 2-> [3-> None]]],10,,,50.0,5.00909090909091,1084735.993939394,4.127272727272727,82.26839826839827,1031304.2242424242,95.56974617682255
Average,[0-> [1-> None-> 2-> [3-> None]]],16,,,70.21660649819495,8.003030303030304,1802280.890909091,7.075757575757575,88.30907560453028,1775766.3636363638,98.30689417848343
Average,[0-> [1-> None-> 2-> [3-> None]]],26,,,82.32458489555437,12.972727272727273,2980274.487878788,12.106060606060606,93.28194789959488,2966983.090909091,99.38146469099293
Average,[0-> [1-> None-> 2-> [3-> None]]],50,,,91.17647058823529,25.078787878787878,5506009.30909091,24.16060606060606,96.32564305457585,5498436.83030303,99.82907293115767
Average,[0-> [1-> None-> 2-> [3-> None]]],100,,,95.71038606525413,49.790909090909096,10955483.38181818,48.87878787878788,98.16383187832768,10951613.854545455,99.95165650077463
Average,[0-> [1-> None-> 2-> [3-> None]]],500,,,99.16968599033817,249.16363636363636,56772814.25151515,248.2242424242424,99.62327158800629,56772015.2030303,99.99827717916541
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,,,99.58935304438721,498.6121212121212,115022152.17575757,497.6272727272727,99.8024394477374,115021748.96969697,99.9995254228356
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,,,99.79633903995457,997.2757575757576,230538755.65757576,996.1454545454546,99.88673363736721,230538532.1060606,99.99987074274698
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,,,99.9184573111669,2480.7424242424245,573496055.9363636,2479.178787878788,99.93689785065308,573495817.4515152,99.9999705045742
Average,[0-> [1-> None-> 2-> [3-> None]]],8372,,,99.95363801121118,4351.754545454545,1015698971.9242424,4349.906060606061,93.89981422602271,1015698818.7060606,93.93938010328142
Average,[0-> [1-> None-> 2-> [3-> None]]],20000,,,99.95557506064678,4533.1,786771255.3545455,4531.648484848485,60.5858912629288,786771246.869697,60.60605896284841
Average,[0-> [1-> None-> 2-> [3-> None]]],23635,,,99.43896633798029,358.93939393939394,61384530.42424242,358.6969696969697,3.0282563925451216,61384510.84848485,3.030302063927999
,,,,,0.0,,,,,,
,,,,,0.0,,,,,,
,,,,,0.0,,,,,,
,,,,,0.0,,,,,,
