stockname,recipe,numpossibletrades,optimalkmin,optimalkmax,gftformula,optimalcount,optimalgft,auctioncount,countratio,gft,gftratio
Average,[0-> [1-> None-> 2-> [3-> None]]],2,0.81,0.81,0.000,0.96,187824.7,0.28,23.202,70979.8,25.948
Average,[0-> [1-> None-> 2-> [3-> None]]],4,1.13,1.34,14.530,1.96,416015.9,1.1,53.958,308246.5,68.3
Average,[0-> [1-> None-> 2-> [3-> None]]],6,1.31,1.92,31.507,2.95,644828.9,2.05,68.549,566238.9,85.579
Average,[0-> [1-> None-> 2-> [3-> None]]],10,1.97,3.04,50.495,4.94,1098738.9,4.04,81.438,1053303.9,95.216
Average,[0-> [1-> None-> 2-> [3-> None]]],16,3.26,4.68,64.789,7.94,1789863.9,7.04,88.626,1763024.9,98.222
Average,[0-> [1-> None-> 2-> [3-> None]]],26,5.56,7.36,76.077,12.93,2931124.4,12.04,93.108,2915549.5,99.342
Average,[0-> [1-> None-> 2-> [3-> None]]],50,11.21,13.69,86.385,24.9,5670619,24.01,96.413,5662470.1,99.822
Average,[0-> [1-> None-> 2-> [3-> None]]],100,23.18,26.68,92.775,49.85,11367121.8,48.96,98.208,11363099.1,99.955
Average,[0-> [1-> None-> 2-> [3-> None]]],500,120.92,128.74,98.458,249.66,56981022.9,248.71,99.62,56980196.6,99.998
Average,[0-> [1-> None-> 2-> [3-> None]]],1000,244.25,255.24,99.219,499.49,114005338,498.47,99.796,114004895.7,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],2000,491.85,507.33,99.607,999.18,228058121.9,998.04,99.886,228057850.7,99.999
Average,[0-> [1-> None-> 2-> [3-> None]]],5000,1229.6,1254.28,99.841,2483.88,568786002,2482.42,99.941,568785791.7,99.999
