stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:2,2,1.0,1.0,51897.1,0.6,53.9,40083.2,54.051,0.6,53.9,41666.1,55.601000000000006
A,1:2,3,1.5,1.5,83007.1,1.1,73.499,71850.2,76.208,1.1,73.499,74166.1,78.92699999999999
A,1:2,4,2.0,2.0,110616.5,1.6,80.483,99657.6,85.87200000000001,1.6,80.583,102338.3,88.18700000000001
A,1:2,5,2.5,2.5,141421.8,2.1,84.774,130270.2,90.06200000000001,2.1,84.80799999999999,133927.4,92.52
A,1:2,10,5.0,5.0,289296.6,4.6,92.65700000000001,277724.8,95.59299999999999,4.6,92.77799999999999,282801.1,97.45
A,1:2,15,7.5,7.5,440086.0,7.1,95.124,428442.1,97.21,7.1,95.197,433797.1,98.471
A,1:2,25,12.5,12.5,729729.8,12.1,96.92399999999999,717797.3,98.337,12.1,96.965,723318.4,99.09100000000001
A,1:2,50,25.0,25.0,1485899.5,24.6,98.54299999999999,1474194.4,99.20700000000001,24.6,98.57600000000001,1480055.7,99.59899999999999
A,1:2,100,50.0,50.0,2965094.9,49.6,99.198,2952630.4,99.575,49.6,99.272,2959298.0,99.802
A,1:2,500,250.0,250.0,14921353.0,249.5,99.795,14906907.5,99.90299999999999,249.6,99.85799999999999,14915610.1,99.961
A,1:2,1000,500.2,500.3,29818966.6,499.6,99.876,29802694.2,99.945,499.9,99.932,29813262.7,99.98
A,1:2,2000,999.4,999.5,59551442.4,998.6,99.912,59531769.2,99.96600000000001,999.1,99.96600000000001,59545610.5,99.99
A,1:2,5000,2499.4,2499.8,148921957.7,2498.2,99.936,148892720.8,99.98,2499.5,99.988,148916525.9,99.99600000000001
AGNC,1:2,2,1.0,1.0,14325.3,0.6,53.1,10901.0,53.07899999999999,0.6,53.1,11235.8,54.525
AGNC,1:2,3,1.5,1.5,22559.0,1.1,74.283,18994.2,75.916,1.1,74.533,19651.7,78.541
AGNC,1:2,4,2.0,2.0,31858.7,1.6,81.183,28201.6,85.088,1.6,81.316,29076.9,88.045
AGNC,1:2,5,2.5,2.5,40640.7,2.1,84.821,37179.0,89.639,2.1,85.021,38076.5,91.96799999999999
AGNC,1:2,10,5.0,5.0,83004.5,4.6,92.98899999999999,79393.6,95.289,4.6,93.279,80824.0,97.146
AGNC,1:2,15,7.6,7.6,128477.9,7.2,94.68700000000001,124905.1,97.04799999999999,7.2,94.844,126224.7,98.165
AGNC,1:2,25,12.5,12.5,213113.1,12.1,96.709,209523.0,98.256,12.1,96.988,211038.5,98.994
AGNC,1:2,50,25.0,25.0,429276.5,24.6,98.36,425414.9,99.089,24.6,98.601,427242.3,99.522
AGNC,1:2,100,50.0,50.0,863633.0,49.5,99.126,859773.6,99.54799999999999,49.6,99.3,861591.0,99.76100000000001
AGNC,1:2,500,249.8,249.9,4324178.5,249.2,99.74700000000001,4319387.5,99.889,249.5,99.868,4322065.4,99.95100000000001
AGNC,1:2,1000,500.3,500.4,8655255.2,499.5,99.821,8649123.2,99.929,500.1,99.94,8653221.1,99.976
AGNC,1:2,2000,999.3,999.6,17288828.9,998.1,99.851,17279563.5,99.946,999.3,99.97200000000001,17286678.5,99.98700000000001
AMZN,1:2,2,1.0,1.0,1221798.8,0.6,55.4,965651.2,52.483999999999995,0.6,55.4,1048476.2,56.762
AMZN,1:2,3,1.4,1.4,1894138.1,1.1,74.283,1681556.1,76.069,1.1,74.333,1790689.8,81.798
AMZN,1:2,4,1.9,1.9,2603985.9,1.6,83.024,2416073.7,87.613,1.6,83.024,2524308.7,92.43799999999999
AMZN,1:2,5,2.5,2.5,3299324.0,2.1,86.838,3076889.6,90.736,2.1,86.838,3220425.1,95.645
AMZN,1:2,10,5.0,5.0,6969842.3,4.7,92.90299999999999,6771795.1,96.84,4.7,92.90299999999999,6913360.7,98.96799999999999
AMZN,1:2,15,7.5,7.5,10263941.5,7.1,95.025,10042772.9,97.538,7.1,95.039,10212631.7,99.40799999999999
AMZN,1:2,25,12.5,12.5,17126198.8,12.1,96.876,16944956.3,98.848,12.1,96.876,17077493.3,99.689
AMZN,1:2,50,25.1,25.1,34909045.5,24.7,98.51100000000001,34680560.0,99.352,24.7,98.52,34867209.6,99.87700000000001
AMZN,1:2,100,49.9,49.9,68812085.7,49.6,99.274,68569872.5,99.641,49.6,99.292,68774313.1,99.944
AMZN,1:2,500,250.1,250.1,346524757.5,249.7,99.84,346314310.5,99.939,249.7,99.851,346489902.7,99.98899999999999
AMZN,1:2,1000,499.9,499.9,692194470.7,499.5,99.913,691932389.2,99.962,499.5,99.926,692160759.1,99.995
AMZN,1:2,2000,1000.1,1000.1,1388504336.0,999.6,99.95100000000001,1388243544.6,99.98100000000001,999.7,99.963,1388469944.4,99.99700000000001
AMZN,1:2,5000,2499.9,2499.9,3463323103.2,2499.3,99.976,3463045724.2,99.991,2499.5,99.985,3463288358.8,99.99799999999999
BA,1:2,2,0.9,0.9,148803.3,0.6,53.8,121095.3,52.95399999999999,0.6,53.8,127739.0,55.396
BA,1:2,3,1.5,1.5,231422.1,1.1,73.233,203466.1,75.422,1.1,73.233,214942.5,80.259
BA,1:2,4,2.0,2.0,318807.0,1.6,82.991,290148.7,86.31700000000001,1.6,83.09100000000001,303774.3,91.03399999999999
BA,1:2,5,2.5,2.5,402638.5,2.1,86.001,375533.9,90.484,2.1,86.118,389124.3,94.319
BA,1:2,10,5.0,5.0,832807.7,4.6,92.691,804370.1,96.00399999999999,4.6,92.829,820533.5,98.14
BA,1:2,15,7.5,7.5,1278640.9,7.1,94.824,1248172.7,97.32799999999999,7.2,94.927,1266076.5,98.891
BA,1:2,25,12.5,12.5,2113072.6,12.2,97.15700000000001,2081240.4,98.402,12.2,97.275,2102241.1,99.448
BA,1:2,50,25.0,25.0,4249580.2,24.6,98.429,4213958.1,99.15,24.6,98.59,4238315.8,99.728
BA,1:2,100,49.7,49.7,8434499.1,49.3,99.11,8401766.4,99.60600000000001,49.4,99.25,8423395.0,99.86399999999999
BA,1:2,500,249.7,249.8,42756976.6,249.1,99.719,42705470.3,99.87899999999999,249.5,99.87799999999999,42745267.8,99.97200000000001
BA,1:2,1000,499.9,500.0,85342069.2,499.1,99.81200000000001,85287389.5,99.936,499.7,99.945,85331368.0,99.98700000000001
BA,1:2,2000,1000.2,1000.5,170414611.5,999.1,99.86,170335159.8,99.95299999999999,1000.3,99.975,170403884.1,99.993
BA,1:2,5000,2500.5,2501.5,427135592.0,2498.8,99.891,426997655.6,99.96700000000001,2501.2,99.98899999999999,427124419.4,99.99700000000001
BA,1:2,10000,4996.5,4998.8,852744874.1,4993.3,99.88799999999999,852481612.1,99.969,4998.6,99.994,852733710.7,99.99799999999999
BAC,1:2,2,1.0,1.0,37899.6,0.6,53.55,28731.3,53.323,0.6,53.7,29681.5,54.948
BAC,1:2,3,1.5,1.5,62905.4,1.2,78.29899999999999,55098.0,80.79899999999999,1.2,78.449,56707.3,83.37
