stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
A,1:1:1:1:1:1:1:1:1,2,0.9,0.9,190704.5,0.5,41.3,148859.6,43.445,0.5,41.4,149057.4,43.545
A,1:1:1:1:1:1:1:1:1,3,1.4,1.4,284778.0,0.9,64.299,252238.4,73.0,0.9,64.499,252714.7,73.196
A,1:1:1:1:1:1:1:1:1,4,1.9,1.9,426790.7,1.4,73.933,392227.2,86.666,1.4,74.066,393004.9,86.814
A,1:1:1:1:1:1:1:1:1,5,2.4,2.4,533840.3,1.9,79.663,504304.6,92.316,1.9,79.713,504628.3,92.361
A,1:1:1:1:1:1:1:1:1,10,4.8,4.8,1115946.7,4.3,90.093,1093217.5,97.499,4.3,90.297,1094899.9,97.706
A,1:1:1:1:1:1:1:1:1,15,7.3,7.3,1722285.6,6.8,93.622,1699351.3,98.554,6.8,93.781,1701828.5,98.713
A,1:1:1:1:1:1:1:1:1,25,12.2,12.2,2919191.3,11.7,95.782,2895636.5,99.148,11.7,95.869,2897850.4,99.225
A,1:1:1:1:1:1:1:1:1,50,24.6,24.6,5875892.2,24.1,97.869,5849454.9,99.54,24.1,98.029,5857885.3,99.686
A,1:1:1:1:1:1:1:1:1,100,49.6,49.6,11858384.5,49.0,98.88,11823224.1,99.698,49.1,99.054,11841788.2,99.857
A,1:1:1:1:1:1:1:1:1,500,248.9,248.9,59575295.7,248.1,99.665,59490115.2,99.856,248.4,99.795,59558155.5,99.971
A,1:1:1:1:1:1:1:1:1,1000,498.9,498.9,119092425.8,497.8,99.788,118957755.6,99.886,498.4,99.902,119075937.5,99.986
A,1:1:1:1:1:1:1:1:1,2000,998.3,998.3,238197491.2,996.8,99.847,237978177.8,99.907,997.8,99.949,238180683.4,99.992
AGNC,1:1:1:1:1:1:1:1:1,2,0.9,0.9,50334.3,0.5,44.25,39678.2,46.577,0.5,44.55,39979.4,46.927
AGNC,1:1:1:1:1:1:1:1:1,3,1.4,1.4,84383.9,1.0,67.566,74402.8,74.624,1.0,68.166,74915.0,75.299
AGNC,1:1:1:1:1:1:1:1:1,4,1.9,1.9,117748.7,1.4,75.233,107169.9,85.637,1.4,75.866,108038.7,86.417
AGNC,1:1:1:1:1:1:1:1:1,5,2.4,2.4,150528.7,1.9,78.941,140589.5,91.018,1.9,79.908,141889.3,92.074
AGNC,1:1:1:1:1:1:1:1:1,10,4.8,4.8,325944.6,4.3,89.059,316065.3,96.63,4.3,89.772,317990.7,97.288
AGNC,1:1:1:1:1:1:1:1:1,15,7.3,7.3,492525.2,6.8,92.575,482088.7,97.793,6.8,93.174,484822.8,98.362
AGNC,1:1:1:1:1:1:1:1:1,25,12.3,12.3,842923.3,11.8,95.274,830181.6,98.424,11.9,96.095,836367.5,99.203
AGNC,1:1:1:1:1:1:1:1:1,50,24.9,24.9,1702478.1,24.3,97.541,1686682.5,99.055,24.4,98.17,1696483.1,99.645
AGNC,1:1:1:1:1:1:1:1:1,100,50.0,50.0,3438069.9,49.4,98.741,3419705.7,99.463,49.6,99.153,3432670.6,99.842
AGNC,1:1:1:1:1:1:1:1:1,500,250.4,250.4,17291155.3,249.3,99.547,17244760.6,99.731,250.0,99.815,17285234.1,99.965
AGNC,1:1:1:1:1:1:1:1:1,1000,499.7,499.7,34536292.7,498.1,99.685,34465410.2,99.794,499.2,99.907,34530414.3,99.982
AMZN,1:1:1:1:1:1:1:1:1,2,0.8,0.8,4768082.9,0.4,34.2,3920092.5,35.779,0.4,34.2,3920092.5,35.779
AMZN,1:1:1:1:1:1:1:1:1,3,1.3,1.3,7426084.2,0.8,61.183,6835576.4,69.134,0.8,61.183,6835576.4,69.134
AMZN,1:1:1:1:1:1:1:1:1,4,1.8,1.8,10329191.2,1.3,74.199,9882292.5,86.66,1.3,74.199,9882292.5,86.66
AMZN,1:1:1:1:1:1:1:1:1,5,2.2,2.2,13234088.9,1.8,81.083,12876962.6,93.824,1.8,81.083,12876962.6,93.824
AMZN,1:1:1:1:1:1:1:1:1,10,4.7,4.7,27051853.1,4.2,89.345,26751246.5,98.588,4.2,89.448,26780750.2,98.697
AMZN,1:1:1:1:1:1:1:1:1,15,7.1,7.1,40581638.6,6.6,93.522,40382548.4,99.432,6.6,93.522,40382530.4,99.432
AMZN,1:1:1:1:1:1:1:1:1,25,12.0,12.0,68865440.8,11.5,96.051,68669785.1,99.691,11.5,96.11,68712958.8,99.75
AMZN,1:1:1:1:1:1:1:1:1,50,24.3,24.3,137026954.7,23.8,97.968,136865831.2,99.877,23.9,97.993,136897676.1,99.899
AMZN,1:1:1:1:1:1:1:1:1,100,49.1,49.1,275544466.2,48.6,98.919,275342701.8,99.925,48.6,98.956,275421219.8,99.953
AMZN,1:1:1:1:1:1:1:1:1,500,248.5,248.5,1391248297.1,247.9,99.749,1390806844.0,99.967,248.0,99.773,1391132357.5,99.991
AMZN,1:1:1:1:1:1:1:1:1,1000,498.7,498.7,2771897147.0,498.1,99.863,2771055563.7,99.969,498.2,99.892,2771787939.6,99.996
AMZN,1:1:1:1:1:1:1:1:1,2000,998.7,998.7,5551339313.3,997.9,99.923,5550061645.6,99.976,998.2,99.946,5551235081.7,99.998
BA,1:1:1:1:1:1:1:1:1,2,0.8,0.8,540969.2,0.3,32.049,418436.2,33.848,0.3,32.15,422172.6,33.99
BA,1:1:1:1:1:1:1:1:1,3,1.4,1.4,946593.7,0.9,62.399,851293.5,71.865,0.9,62.849,853206.3,72.336
BA,1:1:1:1:1:1:1:1:1,4,1.8,1.8,1216088.1,1.4,75.283,1140058.5,87.101,1.4,75.616,1144519.0,87.488
BA,1:1:1:1:1:1:1:1:1,5,2.4,2.4,1557462.9,1.9,80.474,1487520.6,92.704,1.9,80.758,1490139.1,93.084
BA,1:1:1:1:1:1:1:1:1,10,4.9,4.9,3274808.2,4.4,90.241,3217460.0,97.85,4.4,90.632,3227179.0,98.261
BA,1:1:1:1:1:1:1:1:1,15,7.3,7.3,5072687.1,6.8,93.363,5008420.1,98.617,6.9,93.785,5030417.7,99.031
BA,1:1:1:1:1:1:1:1:1,25,12.3,12.3,8533287.7,11.8,95.72,8470602.6,99.219,11.8,96.023,8493720.7,99.502
BA,1:1:1:1:1:1:1:1:1,50,24.8,24.8,16890095.4,24.2,97.622,16811138.6,99.523,24.3,97.893,16852030.0,99.765
BA,1:1:1:1:1:1:1:1:1,100,50.1,50.1,34340847.0,49.5,98.735,34226316.6,99.659,49.6,99.009,34304776.2,99.893
BA,1:1:1:1:1:1:1:1:1,500,250.5,250.5,170641403.6,249.2,99.5,170160933.9,99.719,250.0,99.799,170607669.4,99.98
BA,1:1:1:1:1:1:1:1:1,1000,500.1,500.1,340840295.4,498.4,99.662,340073540.6,99.775,499.6,99.908,340809236.5,99.99
BA,1:1:1:1:1:1:1:1:1,2000,999.3,999.3,683337443.9,996.9,99.758,682155779.5,99.827,998.9,99.954,683306517.1,99.995
BA,1:1:1:1:1:1:1:1:1,5000,2496.4,2496.4,1704369333.1,2492.0,99.822,1702044194.6,99.863,2496.0,99.982,1704338700.6,99.998
BAC,1:1:1:1:1:1:1:1:1,2,0.9,0.9,142417.3,0.5,44.25,107637.4,46.509,0.5,46.65,113012.4,49.04
BAC,1:1:1:1:1:1:1:1:1,3,1.4,1.4,232433.0,0.9,63.099,194040.5,70.912,1.0,67.549,204779.7,75.907
BAC,1:1:1:1:1:1:1:1:1,4,1.9,1.9,317534.8,1.3,69.433,276793.2,80.914,1.4,74.883,290437.7,87.284
BAC,1:1:1:1:1:1:1:1:1,5,2.4,2.4,411092.8,1.9,76.383,376640.1,87.406,1.9,80.408,388461.1,92.238
BAC,1:1:1:1:1:1:1:1:1,10,4.9,4.9,878579.8,4.3,89.124,851374.1,96.56,4.4,89.732,856218.7,97.211
BAC,1:1:1:1:1:1:1:1:1,15,7.4,7.4,1344291.3,6.8,92.175,1317452.8,97.884,6.9,92.589,1322765.5,98.283
BAC,1:1:1:1:1:1:1:1:1,25,12.4,12.4,2259257.2,11.8,95.134,2230463.3,98.684,11.9,95.484,2237453.5,99.004
BAC,1:1:1:1:1:1:1:1:1,50,24.9,24.9,4555768.6,24.2,97.47,4522781.0,99.262,24.3,97.813,4536597.4,99.569
BAC,1:1:1:1:1:1:1:1:1,100,49.9,49.9,9185034.4,49.2,98.529,9137372.4,99.471,49.4,98.891,9165683.0,99.786
BAC,1:1:1:1:1:1:1:1:1,500,249.7,249.7,46149980.7,248.4,99.483,46010095.2,99.696,249.2,99.791,46131880.6,99.96
BAC,1:1:1:1:1:1:1:1:1,1000,499.4,499.4,92375124.1,497.5,99.616,92140977.9,99.746,498.9,99.899,92357786.8,99.981
BAC,1:1:1:1:1:1:1:1:1,2000,1000.3,1000.3,185124038.7,997.4,99.713,184752087.9,99.798,999.8,99.951,185107299.2,99.99
BAC,1:1:1:1:1:1:1:1:1,5000,2499.1,2499.1,462617778.8,2493.4,99.771,461861229.6,99.836,2498.6,99.979,462600201.1,99.996
C,1:1:1:1:1:1:1:1:1,2,0.8,0.8,1468181.8,0.4,38.85,1259352.6,40.512,0.4,39.15,1269362.6,40.812
C,1:1:1:1:1:1:1:1:1,3,1.3,1.3,2410719.6,0.8,61.116,2236157.5,67.136,0.8,61.516,2246214.5,67.574
C,1:1:1:1:1:1:1:1:1,4,1.8,1.8,3294872.8,1.3,71.824,3151381.9,84.926,1.3,72.108,3163903.6,85.368
C,1:1:1:1:1:1:1:1:1,5,2.2,2.2,4137330.5,1.7,77.016,3993635.7,91.514,1.7,77.483,4012945.0,92.041
C,1:1:1:1:1:1:1:1:1,10,4.7,4.7,8345105.5,4.1,87.589,8235233.3,98.265,4.1,87.814,8252310.1,98.499
C,1:1:1:1:1:1:1:1:1,15,7.3,7.3,12920344.6,6.6,91.55,12803719.5,98.97,6.6,91.805,12833436.4,99.219
C,1:1:1:1:1:1:1:1:1,25,12.4,12.4,21613107.1,11.8,95.251,21516574.5,99.517,11.8,95.41,21546705.6,99.672
C,1:1:1:1:1:1:1:1:1,50,24.9,24.9,44002113.3,24.3,97.718,43876184.7,99.704,24.4,97.882,43945130.5,99.865
C,1:1:1:1:1:1:1:1:1,100,49.9,49.9,86891159.8,49.4,98.91,86767800.0,99.854,49.4,99.004,86841024.2,99.94
C,1:1:1:1:1:1:1:1:1,500,250.0,250.0,438196971.2,249.4,99.729,437819228.9,99.912,249.6,99.811,438148291.6,99.988
C,1:1:1:1:1:1:1:1:1,1000,500.1,500.1,879539834.9,499.1,99.818,878899457.8,99.927,499.5,99.895,879486995.9,99.993
C,1:1:1:1:1:1:1:1:1,2000,1000.2,1000.2,1759166887.2,999.1,99.882,1758091563.7,99.938,999.7,99.949,1759111486.2,99.996
