stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.21,0.121,1.21,488.69,488.69,0.75,63.63,404.79,69.139,347.48,62.520,0.24,12.12,147.45,17.624,90.15,11.005,0.63,51.51,326.10,54.200,326.10,54.200,0.63,51.51,326.10,54.200,326.10,54.200
Average,1:1,3,1.42,0.232,1.42,602.66,602.66,0.93,59.59,524.72,67.398,469.10,61.756,0.48,23.23,324.26,34.320,208.94,22.873,0.93,61.11,456.57,65.955,456.57,65.955,0.93,61.11,456.57,65.955,456.57,65.955
Average,1:1,4,2.00,0.431,2.00,918.22,918.22,1.66,76.51,890.29,87.505,843.21,82.678,1.09,43.18,670.50,61.023,436.57,41.813,1.57,72.47,787.26,77.427,787.26,77.427,1.57,72.47,787.26,77.427,787.26,77.427
Average,1:1,5,2.45,0.545,2.45,1165.18,1165.18,2.00,79.04,1079.74,89.389,951.14,78.897,1.48,54.54,901.87,72.784,566.88,47.776,2.03,81.31,1055.85,87.253,1055.85,87.253,2.03,81.31,1055.85,87.253,1055.85,87.253
Average,1:1,10,4.84,0.778,4.84,2310.75,2310.75,4.48,92.64,2282.35,98.716,2174.22,94.143,3.84,77.89,2191.50,94.014,1774.02,75.043,4.36,90.41,2188.14,94.864,2188.14,94.864,4.36,90.41,2188.14,94.864,2188.14,94.864
Average,1:1,15,7.78,0.868,7.78,3887.64,3887.64,7.24,92.86,3847.77,99.019,3561.35,92.209,6.78,86.83,3804.93,97.879,3227.91,83.543,7.36,94.21,3775.82,96.774,3775.82,96.774,7.36,94.21,3775.82,96.774,3775.82,96.774
Average,1:1,25,12.93,0.921,12.93,6250.67,6250.67,12.45,96.21,6237.87,99.804,6082.52,97.452,11.93,92.16,6206.70,99.274,5692.40,90.923,12.48,96.46,6135.64,98.166,6135.64,98.166,12.48,96.46,6135.64,98.166,6135.64,98.166
Average,1:1,50,25.60,0.960,25.60,12587.08,12587.08,25.03,97.75,12577.21,99.923,12327.52,97.995,24.60,96.05,12562.67,99.807,11960.06,95.107,25.03,97.76,12442.88,98.847,12442.88,98.847,25.03,97.76,12442.88,98.847,12442.88,98.847
Average,1:1,100,49.54,0.979,49.54,24366.10,24366.10,48.90,98.71,24360.58,99.977,24089.30,98.886,48.54,97.97,24352.26,99.943,23678.63,97.198,48.93,98.76,24213.53,99.367,24213.53,99.367,48.93,98.76,24213.53,99.367,24213.53,99.367
Average,1:1,500,248.27,0.995,248.27,123541.16,123541.16,247.75,99.79,123540.12,99.999,123283.38,99.791,247.27,99.59,123537.64,99.997,122674.06,99.297,247.84,99.83,123436.05,99.915,123436.05,99.915,247.84,99.83,123436.05,99.915,123436.05,99.915
Average,1:1,1000,496.84,0.997,496.84,247994.38,247994.38,496.21,99.87,247993.89,99.999,247750.30,99.901,495.84,99.79,247993.00,99.999,247308.33,99.723,496.33,99.89,247865.74,99.948,247865.74,99.948,496.33,99.89,247865.74,99.948,247865.74,99.948
Average,1:1,2000,1002.45,0.999,1002.45,501482.72,501482.72,1002.12,99.96,501482.52,99.999,501289.82,99.961,1001.45,99.90,501481.95,99.999,500716.55,99.846,1001.96,99.95,501360.64,99.975,501360.64,99.975,1001.96,99.95,501360.64,99.975,501360.64,99.975
Average,1:1,5000,2497.03,0.999,2497.03,1244982.55,1244982.55,2496.42,99.97,1244982.47,99.999,1244768.59,99.982,2496.03,99.95,1244982.29,99.999,1244335.75,99.948,2496.51,99.97,1244854.57,99.989,1244854.57,99.989,2496.51,99.97,1244854.57,99.989,1244854.57,99.989
