stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.90,0.060,0.90,64478.12,64478.12,0.42,36.36,37669.96,40.587,36973.54,38.749,0.12,6.06,15941.45,10.283,15245.03,8.446,0.45,39.39,35286.63,42.951,35286.63,42.951,0.45,39.39,35286.63,42.951,35286.63,42.951
Average,1:1,3,1.36,0.217,1.36,93315.81,93315.81,0.84,61.11,83152.54,77.089,73362.39,72.114,0.45,21.71,69867.75,37.695,60077.60,32.720,0.81,56.56,79461.18,67.056,79461.18,67.056,0.84,58.08,79690.88,68.359,79690.88,68.359
Average,1:1,4,1.96,0.401,1.96,119349.45,119349.45,1.48,76.01,114263.21,87.520,107468.54,79.467,0.96,40.15,91756.39,59.056,70688.06,43.211,1.54,79.54,102894.15,88.103,102894.15,88.103,1.54,79.54,102894.15,88.103,102894.15,88.103
Average,1:1,5,2.57,0.580,2.57,229311.36,229311.36,2.03,77.77,222488.51,91.846,211255.42,84.277,1.57,58.08,188031.39,78.460,138194.30,53.338,1.96,75.75,219345.57,88.721,219345.57,88.721,1.96,75.75,219345.57,88.721,219345.57,88.721
Average,1:1,10,4.93,0.789,4.93,692318.45,692318.45,4.60,93.65,662173.09,99.179,543585.48,95.831,3.93,78.91,648718.12,94.134,493413.54,73.938,4.57,92.95,682943.08,96.649,682943.08,96.649,4.57,92.95,682943.08,96.649,682943.08,96.649
Average,1:1,15,7.60,0.863,7.60,763043.42,763043.42,7.33,96.62,759910.60,99.827,743737.24,98.703,6.60,86.33,745848.75,97.226,650318.42,80.812,7.15,94.19,746094.26,97.991,746094.26,97.991,7.15,94.19,746094.26,97.991,746094.26,97.991
Average,1:1,25,11.75,0.913,11.75,1274372.39,1274372.39,11.33,96.23,1268108.60,99.749,1200502.00,97.273,10.75,91.32,1262539.03,99.136,1138242.00,90.789,11.33,96.56,1261974.11,98.681,1261974.11,98.681,11.36,96.82,1262172.95,98.788,1262172.95,98.788
Average,1:1,50,25.18,0.959,25.18,3063701.18,3063701.18,24.78,98.39,3062835.78,99.967,3044792.15,99.195,24.18,95.99,3060481.57,99.812,2982165.09,95.157,24.63,97.84,3056553.78,99.242,3056553.78,99.242,24.63,97.84,3056553.78,99.242,3056553.78,99.242
Average,1:1,100,50.00,0.979,50.03,5579053.69,5579053.69,49.57,99.10,5578867.96,99.991,5569297.90,99.549,49.03,97.99,5577565.36,99.963,5506429.90,98.164,49.42,98.84,5568016.62,99.653,5568016.62,99.653,49.48,98.90,5568193.96,99.667,5568193.96,99.667
Average,1:1,500,250.36,0.996,250.54,28514030.96,28514030.96,250.09,99.81,28513950.24,99.999,28493680.15,99.924,249.54,99.60,28513861.27,99.998,28471664.18,99.641,249.66,99.72,28468929.09,99.901,28468929.09,99.901,250.03,99.79,28498570.37,99.941,28498570.37,99.941
Average,1:1,1000,501.03,0.998,501.30,58435632.78,58435632.78,500.72,99.88,58435585.75,99.999,58411938.00,99.947,500.30,99.80,58435484.84,99.999,58362103.51,99.859,500.45,99.88,58428277.66,99.959,58428277.66,99.959,500.72,99.88,58429509.20,99.966,58429509.20,99.966
Average,1:1,2000,998.87,0.998,999.78,117394519.54,117394519.54,999.15,99.93,117394493.24,99.999,117368122.39,99.976,998.78,99.89,117394459.69,99.999,117334743.39,99.905,997.87,99.89,117373750.15,99.952,117373750.15,99.952,999.30,99.95,117382056.54,99.985,117382056.54,99.985
Average,1:1,5000,2491.03,0.999,2492.78,283877902.90,283877902.90,2492.06,99.97,283877900.03,99.999,283870770.18,99.994,2491.78,99.95,283877865.96,99.999,283786614.57,99.962,2488.90,99.91,283707677.88,99.963,283707677.88,99.963,2492.33,99.98,283868250.58,99.993,283868250.58,99.993
