stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3,2,0.03,0.000,0.03,5.01,5.01,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.000,0.00,0.000
Average,1:2:3,3,0.21,0.000,0.21,60.52,60.52,0.00,0.00,0.00,0.000,0.00,0.000,0.00,0.00,0.00,0.000,0.00,0.000
Average,1:2:3,4,0.66,0.000,0.66,240.91,240.91,0.15,15.15,82.05,14.748,82.05,14.748,0.15,15.15,75.67,13.602,75.67,13.602
Average,1:2:3,5,0.75,0.000,0.75,154.52,154.52,0.06,6.06,13.29,6.060,13.29,6.060,0.06,6.06,13.29,6.060,13.29,6.060
Average,1:2:3,10,1.48,0.156,1.48,633.20,633.20,0.84,56.56,429.02,59.825,429.02,59.825,0.84,56.56,421.60,58.989,421.60,58.989
Average,1:2:3,15,2.42,0.402,2.42,1165.88,1165.88,2.00,83.08,998.94,84.523,998.94,84.523,2.00,83.08,998.27,84.662,998.27,84.662
Average,1:2:3,25,4.12,0.601,4.12,1940.70,1940.70,3.45,84.29,1708.47,87.511,1708.47,87.511,3.45,84.29,1709.08,87.596,1709.08,87.596
Average,1:2:3,50,7.90,0.771,7.90,3814.10,3814.10,7.45,94.28,3624.17,94.786,3624.17,94.786,7.45,94.28,3648.67,95.382,3648.67,95.382
Average,1:2:3,100,16.51,0.884,16.51,8162.03,8162.03,15.90,96.34,7946.81,97.294,7946.81,97.294,15.90,96.34,7962.34,97.561,7962.34,97.561
Average,1:2:3,500,82.87,0.976,82.87,41294.73,41294.73,82.33,99.34,41105.74,99.538,41105.74,99.538,82.33,99.34,41117.21,99.567,41117.21,99.567
Average,1:2:3,1000,165.27,0.987,165.27,81633.97,81633.97,164.66,99.63,81379.69,99.688,81379.69,99.688,164.66,99.63,81421.48,99.740,81421.48,99.740
Average,1:2:3,2000,333.30,0.994,333.30,165625.45,165625.45,332.63,99.80,165404.51,99.866,165404.51,99.866,332.63,99.80,165415.32,99.872,165415.32,99.872
Average,1:2:3,5000,831.18,0.997,831.18,412826.42,412826.42,830.60,99.93,412614.40,99.948,412614.40,99.948,830.60,99.93,412623.24,99.950,412623.24,99.950
