stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:3,2,0.87,0.000,0.87,507.22,507.22,0.12,12.12,114.20,11.422,114.20,11.422,0.12,12.12,110.99,11.290,110.99,11.290
Average,2:3,3,1.27,0.090,1.27,1033.30,1033.30,0.72,59.09,716.40,60.554,716.40,60.554,0.72,59.09,709.40,59.837,709.40,59.837
Average,2:3,4,1.51,0.166,1.51,1355.73,1355.73,1.06,74.74,1002.92,74.018,1002.92,74.018,1.06,74.74,1000.67,73.643,1000.67,73.643
Average,2:3,5,1.96,0.303,1.96,1972.02,1972.02,1.60,83.33,1623.56,81.982,1623.56,81.982,1.60,83.33,1687.95,84.944,1687.95,84.944
Average,2:3,10,4.09,0.600,4.09,3987.58,3987.58,3.57,87.12,3626.60,90.371,3626.60,90.371,3.57,87.12,3630.24,90.500,3630.24,90.500
Average,2:3,15,5.78,0.701,5.78,5581.25,5581.25,5.30,91.85,5194.11,93.092,5194.11,93.092,5.30,91.85,5192.73,93.151,5192.73,93.151
Average,2:3,25,10.12,0.818,10.12,9877.45,9877.45,9.69,95.84,9570.67,96.849,9570.67,96.849,9.69,95.84,9565.86,96.833,9565.86,96.833
Average,2:3,50,19.81,0.903,19.81,19581.04,19581.04,19.36,97.70,19186.57,97.969,19186.57,97.969,19.36,97.70,19194.28,98.009,19194.28,98.009
Average,2:3,100,39.66,0.950,39.66,39023.08,39023.08,39.09,98.55,38558.64,98.805,38558.64,98.805,39.09,98.55,38570.05,98.835,38570.05,98.835
Average,2:3,500,200.15,0.990,200.15,200350.16,200350.16,199.63,99.74,199888.84,99.768,199888.84,99.768,199.63,99.74,199920.74,99.784,199920.74,99.784
Average,2:3,1000,400.81,0.995,400.81,400814.74,400814.74,400.30,99.87,400413.34,99.900,400413.34,99.900,400.30,99.87,400415.01,99.900,400415.01,99.900
Average,2:3,2000,801.27,0.997,801.27,800899.46,800899.46,800.78,99.93,800500.57,99.950,800500.57,99.950,800.78,99.93,800547.53,99.955,800547.53,99.955
Average,2:3,5000,1998.45,0.998,1998.45,1996813.69,1996813.69,1998.06,99.98,1996438.15,99.981,1996438.15,99.981,1998.06,99.98,1996432.18,99.980,1996432.18,99.980
