stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:3:2:1,2,0.93,0.000,0.93,1309.03,1309.03,0.15,15.15,298.46,15.151,298.46,15.151,0.15,15.15,298.46,15.151,298.46,15.151
Average,4:3:2:1,3,1.06,0.020,1.06,1978.83,1978.83,0.39,36.36,830.98,34.031,830.98,34.031,0.39,36.36,841.15,34.383,841.15,34.383
Average,4:3:2:1,4,1.54,0.181,1.54,2570.21,2570.21,1.00,72.72,1930.42,77.280,1930.42,77.280,1.00,72.72,1929.27,77.464,1929.27,77.464
Average,4:3:2:1,5,2.03,0.333,2.03,3508.73,3508.73,1.27,61.61,2477.11,69.065,2477.11,69.065,1.27,61.61,2491.23,69.893,2491.23,69.893
Average,4:3:2:1,10,3.90,0.584,3.90,7514.98,7514.98,3.39,87.37,6714.35,88.947,6714.35,88.947,3.39,87.37,6723.10,89.093,6723.10,89.093
Average,4:3:2:1,15,6.03,0.712,6.03,11636.90,11636.90,5.27,87.41,10630.39,91.230,10630.39,91.230,5.27,87.41,10544.53,90.481,10544.53,90.481
Average,4:3:2:1,25,9.72,0.812,9.72,19198.61,19198.61,9.12,93.76,18248.09,94.944,18248.09,94.944,9.12,93.76,18344.28,95.448,18344.28,95.448
Average,4:3:2:1,50,19.75,0.903,19.75,39178.82,39178.82,19.12,96.78,38238.85,97.596,38238.85,97.596,19.12,96.78,38228.28,97.558,38228.28,97.558
Average,4:3:2:1,100,39.96,0.951,39.96,79281.72,79281.72,39.51,98.85,78629.84,99.171,78629.84,99.171,39.51,98.85,78625.62,99.162,78625.62,99.162
Average,4:3:2:1,500,199.39,0.990,199.39,398676.85,398676.85,198.78,99.69,397727.01,99.761,397727.01,99.761,198.78,99.69,397799.61,99.780,397799.61,99.780
Average,4:3:2:1,1000,399.87,0.995,399.87,800115.29,800115.29,399.36,99.87,799316.54,99.900,799316.54,99.900,399.36,99.87,799316.61,99.900,799316.61,99.900
Average,4:3:2:1,2000,798.54,0.997,798.54,1591893.59,1591893.59,797.84,99.91,1590941.05,99.940,1590941.05,99.940,797.84,99.91,1590842.85,99.933,1590842.85,99.933
Average,4:3:2:1,5000,2000.69,0.999,2000.69,3997049.95,3997049.95,2000.21,99.97,3996407.62,99.983,3996407.62,99.983,2000.21,99.97,3996377.92,99.983,3996377.92,99.983
