stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2,2,0.57,0.000,0.57,177.39,177.39,0.09,9.09,43.65,9.090,43.65,9.090,0.09,9.09,43.65,9.090,43.65,9.090
Average,1:2,3,0.93,0.040,0.93,388.12,388.12,0.45,36.36,225.20,33.579,225.20,33.579,0.45,36.36,234.72,34.698,234.72,34.698
Average,1:2,4,1.45,0.156,1.45,559.06,559.06,0.93,62.12,430.78,64.037,430.78,64.037,0.93,62.12,433.36,64.277,433.36,64.277
Average,1:2,5,1.57,0.181,1.57,772.14,772.14,1.06,63.63,566.24,62.851,566.24,62.851,1.06,63.63,582.86,64.556,582.86,64.556
Average,1:2,10,3.33,0.517,3.33,1652.65,1652.65,2.87,86.51,1478.05,89.203,1478.05,89.203,2.87,86.51,1474.63,88.894,1474.63,88.894
Average,1:2,15,5.06,0.659,5.06,2359.82,2359.82,4.45,87.89,2188.99,92.114,2188.99,92.114,4.45,87.89,2183.67,91.840,2183.67,91.840
Average,1:2,25,8.00,0.774,8.00,3855.97,3855.97,7.45,93.18,3681.73,95.337,3681.73,95.337,7.45,93.18,3688.82,95.537,3688.82,95.537
Average,1:2,50,17.27,0.889,17.27,8398.18,8398.18,16.72,96.82,8233.63,98.022,8233.63,98.022,16.72,96.82,8233.82,98.021,8233.82,98.021
Average,1:2,100,32.93,0.940,32.93,16209.53,16209.53,32.33,98.13,16032.56,98.900,16032.56,98.900,32.33,98.13,16032.38,98.898,16032.38,98.898
Average,1:2,500,165.66,0.987,165.66,81943.16,81943.16,165.12,99.67,81750.08,99.764,81750.08,99.764,165.12,99.67,81773.10,99.792,81773.10,99.792
Average,1:2,1000,333.24,0.994,333.24,165867.66,165867.66,332.63,99.81,165667.58,99.879,165667.58,99.879,332.63,99.81,165676.97,99.884,165676.97,99.884
Average,1:2,2000,662.15,0.996,662.15,331624.48,331624.48,661.69,99.93,331457.98,99.949,331457.98,99.949,661.69,99.93,331473.59,99.954,331473.59,99.954
Average,1:2,5000,1663.96,0.998,1663.96,828961.25,828961.25,1663.54,99.97,828819.76,99.982,828819.76,99.982,1663.54,99.97,828835.30,99.984,828835.30,99.984
