stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2:3:4,2,0.21,0.000,0.21,17482.27,17482.27,0.03,3.03,7506.51,3.030,7506.51,3.030,0.03,3.03,7506.51,3.030,7506.51,3.030
Average,1:2:3:4,3,0.15,0.000,0.15,8979.36,8979.36,0.06,6.06,4977.74,3.908,4977.74,3.908,0.06,6.06,8335.25,5.989,8335.25,5.989
Average,1:2:3:4,4,0.60,0.030,0.60,137892.60,137892.60,0.27,22.72,129709.51,25.096,129709.51,25.096,0.27,22.72,129704.33,24.849,129704.33,24.849
Average,1:2:3:4,5,0.66,0.050,0.66,124325.84,124325.84,0.48,37.87,115552.73,38.364,115552.73,38.364,0.48,37.87,116216.09,39.801,116216.09,39.801
Average,1:2:3:4,10,1.33,0.194,1.33,188953.69,188953.69,1.15,49.24,163966.61,48.159,163966.61,48.159,1.15,49.24,171779.35,51.212,171779.35,51.212
Average,1:2:3:4,15,1.96,0.271,1.96,405659.69,405659.69,1.72,49.89,391832.15,49.020,391832.15,49.020,1.72,49.89,399119.58,51.509,399119.58,51.509
Average,1:2:3:4,25,3.78,0.378,3.78,722984.18,722984.18,3.48,59.72,698276.37,59.967,698276.37,59.967,3.51,60.02,701825.15,61.790,701825.15,61.790
Average,1:2:3:4,50,7.66,0.505,7.66,1687335.81,1687335.81,7.36,72.90,1654618.25,71.879,1654618.25,71.879,7.36,72.90,1653485.21,73.408,1653485.21,73.408
Average,1:2:3:4,100,15.69,0.670,15.69,3028106.57,3028106.57,15.09,77.98,2981143.10,80.207,2981143.10,80.207,15.18,78.40,2986890.72,82.044,2986890.72,82.044
Average,1:2:3:4,500,78.90,0.850,78.90,15640481.63,15640481.63,78.12,89.77,15494924.12,91.280,15494924.12,91.280,78.54,90.64,15626458.01,92.320,15626458.01,92.320
Average,1:2:3:4,1000,156.33,0.881,156.33,31806879.21,31806879.21,155.15,90.42,31532937.61,91.294,31532937.61,91.294,155.93,91.52,31778780.30,92.107,31778780.30,92.107
Average,1:2:3:4,2000,265.51,0.740,265.54,54012769.84,54012769.84,264.27,74.59,53909226.90,74.872,53909226.90,74.872,265.18,75.32,53981807.25,75.534,53981807.25,75.534
Average,1:2:3:4,5000,50.30,0.030,50.30,5358803.87,5358803.87,50.24,3.02,5357499.65,3.029,5357499.65,3.029,50.27,3.02,5358105.02,3.029,5358105.02,3.029
