stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:3,2,0.84,0.000,0.84,263301.36,263301.36,0.27,27.27,157628.52,24.588,157628.52,24.588,0.30,30.30,159313.58,28.193,159313.58,28.193
Average,2:3,3,1.21,0.070,1.21,381825.24,381825.24,0.66,54.54,297108.89,54.037,297108.89,54.037,0.69,57.57,324516.01,58.380,324516.01,58.380
Average,2:3,4,1.54,0.181,1.54,391309.15,391309.15,1.09,66.66,354721.53,67.728,354721.53,67.728,1.09,66.66,357500.62,66.915,357500.62,66.915
Average,2:3,5,1.87,0.287,1.87,533869.75,533869.75,1.33,69.69,400716.75,72.352,400716.75,72.352,1.36,71.21,453125.27,76.535,453125.27,76.535
Average,2:3,10,3.87,0.576,3.87,874126.60,874126.60,3.36,86.76,820708.01,89.887,820708.01,89.887,3.36,86.76,790043.74,88.922,790043.74,88.922
Average,2:3,15,6.21,0.714,6.21,1404760.69,1404760.69,5.69,91.85,1342465.15,93.864,1342465.15,93.864,5.69,91.85,1344892.05,94.588,1344892.05,94.588
Average,2:3,25,9.45,0.799,9.45,2387980.45,2387980.45,9.09,95.69,2276042.03,95.028,2276042.03,95.028,9.12,96.03,2361706.02,96.796,2361706.02,96.796
Average,2:3,50,19.45,0.898,19.45,4988781.96,4988781.96,18.81,96.62,4937008.81,98.076,4937008.81,98.076,18.81,96.62,4875371.35,97.879,4875371.35,97.879
Average,2:3,100,39.06,0.948,39.06,10016109.48,10016109.48,38.54,98.70,9969197.11,99.004,9969197.11,99.004,38.60,98.85,9959668.09,99.139,9959668.09,99.139
Average,2:3,500,196.24,0.989,196.30,50540839.18,50540839.18,195.60,99.66,50457673.06,99.720,50457673.06,99.720,195.78,99.71,50469414.46,99.776,50469414.46,99.776
Average,2:3,1000,394.12,0.994,394.24,104546967.33,104546967.33,393.33,99.79,104420640.93,99.804,104420640.93,99.804,393.84,99.89,104493037.19,99.895,104493037.19,99.895
Average,2:3,2000,788.21,0.997,788.24,208307190.06,208307190.06,787.09,99.85,208060732.22,99.888,208060732.22,99.888,787.84,99.95,208225091.33,99.962,208225091.33,99.962
Average,2:3,5000,1215.60,0.605,1216.24,273931108.48,273931108.48,1212.06,60.41,270707777.74,60.478,270707777.74,60.478,1215.90,60.58,273906907.29,60.592,273906907.29,60.592
