stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,4:2:6,2,0.75,0.000,0.75,336977.27,336977.27,0.09,9.09,29513.19,7.707,29513.19,7.707,0.09,9.09,30604.57,8.586,30604.57,8.586
Average,4:2:6,3,1.00,0.020,1.00,739610.69,739610.69,0.51,48.48,501430.03,45.482,501430.03,45.482,0.51,48.48,625942.15,47.837,625942.15,47.837
Average,4:2:6,4,1.33,0.121,1.33,701405.72,701405.72,0.78,56.06,584875.78,52.437,584875.78,52.437,0.78,56.06,604010.82,55.483,604010.82,55.483
Average,4:2:6,5,1.60,0.207,1.60,1119078.54,1119078.54,1.12,67.17,737275.01,66.182,737275.01,66.182,1.12,67.17,743011.44,67.322,743011.44,67.322
Average,4:2:6,10,3.30,0.506,3.30,1776581.27,1776581.27,2.75,81.36,1595189.63,84.562,1595189.63,84.562,2.75,81.36,1617153.59,84.432,1617153.59,84.432
Average,4:2:6,15,5.03,0.640,5.03,2942465.00,2942465.00,4.45,85.95,2671237.68,86.352,2671237.68,86.352,4.54,87.97,2713179.11,89.382,2713179.11,89.382
Average,4:2:6,25,8.30,0.754,8.30,5543530.87,5543530.87,7.78,93.19,5393129.76,94.059,5393129.76,94.059,7.81,93.62,5370369.30,94.597,5370369.30,94.597
Average,4:2:6,50,16.78,0.871,16.78,9900301.27,9900301.27,16.12,96.24,9662579.64,97.029,9662579.64,97.029,16.18,96.54,9678676.20,97.018,9678676.20,97.018
Average,4:2:6,100,33.51,0.932,33.51,19581648.39,19581648.39,32.78,97.24,19162481.21,97.565,19162481.21,97.565,32.96,97.87,19406089.21,98.247,19406089.21,98.247
Average,4:2:6,500,167.15,0.985,167.15,99283983.36,99283983.36,166.30,99.39,98630887.74,99.455,98630887.74,99.455,166.66,99.62,99070928.57,99.685,99070928.57,99.685
Average,4:2:6,1000,326.93,0.962,326.96,193897732.18,193897732.18,325.63,96.52,192131368.42,96.605,192131368.42,96.605,326.54,96.82,193716336.08,96.835,193716336.08,96.835
Average,4:2:6,2000,440.21,0.634,440.21,208535236.33,208535236.33,439.00,63.44,207226855.03,63.432,207226855.03,63.432,440.06,63.61,208511927.68,63.611,208511927.68,63.611
,,,,,,,,,,,,,,,,,,,
