stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:16,2,0.15,0.000,0.15,16080.27,16080.27,0.03,3.03,8517.90,3.030,8517.90,3.030,0.03,3.03,8517.90,3.030,8517.90,3.030
Average,1:16,3,0.33,0.000,0.33,19038.36,19038.36,0.12,12.12,13133.28,11.936,13133.28,11.936,0.12,12.12,13168.82,11.950,13168.82,11.950
Average,1:16,4,0.36,0.000,0.36,14127.57,14127.57,0.15,15.15,9638.03,14.897,9638.03,14.897,0.15,15.15,9637.17,14.895,9637.17,14.895
Average,1:16,5,0.51,0.030,0.51,99008.96,99008.96,0.33,28.78,85506.31,24.833,85506.31,24.833,0.33,28.78,87790.04,29.585,87790.04,29.585
Average,1:16,10,1.15,0.164,1.15,269436.84,269436.84,1.00,48.98,219085.67,49.399,219085.67,49.399,1.00,48.98,224519.91,50.732,224519.91,50.732
Average,1:16,15,1.69,0.243,1.69,473149.87,473149.87,1.48,44.09,367802.33,41.086,367802.33,41.086,1.54,45.85,465769.32,47.001,465769.32,47.001
Average,1:16,25,2.87,0.339,2.87,687436.90,687436.90,2.54,49.79,643790.42,49.803,643790.42,49.803,2.60,51.15,654806.06,53.033,654806.06,53.033
Average,1:16,50,5.78,0.428,5.78,1194359.84,1194359.84,5.45,54.68,1179089.50,53.575,1179089.50,53.575,5.57,56.43,1191191.42,57.035,1191191.42,57.035
Average,1:16,100,12.12,0.498,12.12,2785409.39,2785409.39,11.66,58.80,2734771.83,59.231,2734771.83,59.231,11.66,58.80,2772638.29,59.724,2772638.29,59.724
Average,1:16,500,60.48,0.647,60.48,13063731.15,13063731.15,60.00,69.26,13019134.58,68.788,13019134.58,68.788,60.21,70.27,13057952.40,70.988,13057952.40,70.988
Average,1:16,1000,113.90,0.610,113.90,25416224.57,25416224.57,113.36,64.07,25231986.53,65.078,25231986.53,65.078,113.72,64.25,25398076.89,65.297,25398076.89,65.297
Average,1:16,2000,128.18,0.311,128.21,8326289.60,8326289.60,127.81,31.93,8314739.07,32.666,8314739.07,32.666,128.03,32.29,8322671.87,32.705,8322671.87,32.705
,,,,,,,,,,,,,,,,,,,
