stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1,2,0.72,0.030,0.72,220.60,220.60,0.12,9.09,60.51,10.295,60.51,10.295,0.12,9.09,60.51,10.295,60.51,10.295
Average,1:1:1,3,0.90,0.075,0.90,357.04,357.04,0.24,16.66,116.07,17.893,116.07,17.893,0.24,16.66,116.07,17.893,116.07,17.893
Average,1:1:1,4,1.36,0.196,1.36,542.67,542.67,0.69,45.45,357.88,49.931,357.88,49.931,0.69,45.45,357.88,49.931,357.88,49.931
Average,1:1:1,5,1.69,0.323,1.69,704.46,704.46,0.90,47.47,474.49,57.262,474.49,57.262,0.90,47.47,474.49,57.262,474.49,57.262
Average,1:1:1,10,3.27,0.672,3.27,1443.21,1443.21,2.60,79.34,1270.83,87.946,1270.83,87.946,2.60,79.34,1270.83,87.946,1270.83,87.946
Average,1:1:1,15,4.96,0.790,4.96,2261.32,2261.32,4.24,84.81,2064.58,90.627,2064.58,90.627,4.24,84.81,2064.58,90.627,2064.58,90.627
Average,1:1:1,25,8.12,0.873,8.12,3860.71,3860.71,7.45,91.64,3683.56,95.359,3683.56,95.359,7.45,91.64,3683.56,95.359,3683.56,95.359
Average,1:1:1,50,16.84,0.939,16.84,8325.89,8325.89,16.15,95.92,8161.28,98.027,8161.28,98.027,16.15,95.92,8161.28,98.027,8161.28,98.027
Average,1:1:1,100,32.84,0.969,32.84,16070.06,16070.06,32.15,97.84,15896.99,98.906,15896.99,98.906,32.15,97.84,15896.99,98.906,15896.99,98.906
Average,1:1:1,500,166.36,0.993,166.36,82432.50,82432.50,165.60,99.54,82242.26,99.769,82242.26,99.769,165.60,99.54,82242.26,99.769,82242.26,99.769
Average,1:1:1,1000,333.09,0.996,333.09,165409.57,165409.57,332.57,99.84,165256.91,99.907,165256.91,99.907,332.57,99.84,165256.91,99.907,165256.91,99.907
Average,1:1:1,2000,663.63,0.998,663.63,330917.50,330917.50,663.12,99.92,330791.21,99.961,330791.21,99.961,663.12,99.92,330791.21,99.961,330791.21,99.961
Average,1:1:1,5000,1663.78,0.999,1663.78,829342.09,829342.09,1662.96,99.95,829136.15,99.975,829136.15,99.975,1662.96,99.95,829136.15,99.975,829136.15,99.975
