stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1,2,0.57,0.015,0.57,62781.75,62781.75,0.09,7.57,44434.87,7.998,44434.87,7.998,0.09,7.57,44434.87,7.998,44434.87,7.998
Average,1:1:1,3,1.00,0.121,1.00,35225.48,35225.48,0.36,24.24,20072.48,29.391,20072.48,29.391,0.36,24.24,20072.48,29.391,20072.48,29.391
Average,1:1:1,4,1.33,0.222,1.33,105539.87,105539.87,0.84,54.04,97291.37,61.298,97291.37,61.298,0.84,54.04,97291.37,61.298,97291.37,61.298
Average,1:1:1,5,1.39,0.237,1.39,330247.93,330247.93,0.93,60.10,282033.93,67.302,282033.93,67.302,0.93,60.10,282033.93,67.302,282033.93,67.302
Average,1:1:1,10,3.06,0.578,3.06,356505.27,356505.27,2.51,75.30,344971.14,83.028,344971.14,83.028,2.51,75.30,344971.14,83.028,344971.14,83.028
Average,1:1:1,15,4.81,0.733,4.81,741532.90,741532.90,4.27,89.23,729769.66,94.975,729769.66,94.975,4.27,89.23,729769.66,94.975,729769.66,94.975
Average,1:1:1,25,8.36,0.844,8.36,1078989.54,1078989.54,7.81,90.25,1071903.17,93.845,1071903.17,93.845,7.87,91.06,1072665.51,94.478,1072665.51,94.478
Average,1:1:1,50,16.27,0.921,16.27,1991953.30,1991953.30,15.66,96.26,1980948.11,98.557,1980948.11,98.557,15.69,96.38,1983259.37,98.655,1983259.37,98.655
Average,1:1:1,100,32.21,0.963,32.24,4946294.12,4946294.12,31.66,97.83,4939299.20,99.070,4939299.20,99.070,31.69,97.82,4940368.65,99.111,4940368.65,99.111
Average,1:1:1,500,169.18,0.993,169.24,24752303.48,24752303.48,168.36,99.37,24742519.50,99.760,24742519.50,99.760,168.57,99.49,24745238.95,99.832,24745238.95,99.832
Average,1:1:1,1000,336.33,0.996,336.36,49144173.03,49144173.03,335.36,99.69,49013464.61,99.851,49013464.61,99.851,335.81,99.83,49136696.87,99.948,49136696.87,99.948
Average,1:1:1,2000,675.09,0.998,675.21,99282898.60,99282898.60,673.72,99.74,99035851.87,99.859,99035851.87,99.859,674.75,99.93,99275332.56,99.974,99275332.56,99.974
Average,1:1:1,5000,1561.72,0.908,1561.90,234636990.06,234636990.06,1558.69,90.73,233289907.72,90.790,233289907.72,90.790,1561.42,90.87,234623476.85,90.898,234623476.85,90.898
